teamLogo;teamName;teamAbbrev;gamesPlayed;points;wins;losses;otLosses;ties;goalFor;goalAgainst;goalsForPctg;homeGamesPlayed;homePoints;homeWins;homeLosses;homeOtLosses;homeTies;homeGoalsFor;homeGoalsAgainst;roadGamesPlayed;roadPoints;roadWins;roadLosses;roadOtLosses;roadTies;roadGoalsFor;roadGoalsAgainst
https://assets.nhle.com/logos/nhl/svg/COL_light.svg ;Colorado Avalanche;COL;71;106;48;13;10;0;266;179;3.746479;34;51;23;6;5;0;131;87;37;55;25;7;5;0;135;92
https://assets.nhle.com/logos/nhl/svg/DAL_light.svg ;Dallas Stars;DAL;72;97;43;18;11;0;245;198;3.402778;36;48;22;10;4;0;121;103;36;49;21;8;7;0;124;95
https://assets.nhle.com/logos/nhl/svg/CAR_light.svg ;Carolina Hurricanes;CAR;71;96;45;20;6;0;252;211;3.549296;36;52;25;9;2;0;140;112;35;44;20;11;4;0;112;99
https://assets.nhle.com/logos/nhl/svg/BUF_light.svg ;Buffalo Sabres;BUF;72;96;44;20;8;0;254;211;3.527778;35;48;22;9;4;0;128;103;37;48;22;11;4;0;126;108
https://assets.nhle.com/logos/nhl/svg/TBL_light.svg ;Tampa Bay Lightning;TBL;71;94;44;21;6;0;260;199;3.661972;34;43;21;12;1;0;114;96;37;51;23;9;5;0;146;103
https://assets.nhle.com/logos/nhl/svg/MIN_light.svg ;Minnesota Wild;MIN;73;94;41;20;12;0;239;210;3.273973;38;48;20;10;8;0;117;109;35;46;21;10;4;0;122;101
https://assets.nhle.com/logos/nhl/svg/MTL_light.svg ;Montréal Canadiens;MTL;71;90;40;21;10;0;251;231;3.535211;37;46;22;13;2;0;129;115;34;44;18;8;8;0;122;116
https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026 ;Boston Bruins;BOS;72;88;40;24;8;0;240;224;3.333333;37;53;26;10;1;0;128;97;35;35;14;14;7;0;112;127
https://assets.nhle.com/logos/nhl/svg/PIT_light.svg ;Pittsburgh Penguins;PIT;72;88;36;20;16;0;247;228;3.430556;36;42;17;11;8;0;125;124;36;46;19;9;8;0;122;104
https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg ;Columbus Blue Jackets;CBJ;72;87;38;23;11;0;232;219;3.222222;35;47;20;8;7;0;124;107;37;40;18;15;4;0;108;112
https://assets.nhle.com/logos/nhl/svg/NYI_light.svg ;New York Islanders;NYI;73;87;41;27;5;0;211;207;2.890411;34;42;20;12;2;0;104;96;39;45;21;15;3;0;107;111
https://assets.nhle.com/logos/nhl/svg/OTT_light.svg ;Ottawa Senators;OTT;72;86;38;24;10;0;242;220;3.361111;35;42;18;11;6;0;114;96;37;44;20;13;4;0;128;124
https://assets.nhle.com/logos/nhl/svg/ANA_light.svg ;Anaheim Ducks;ANA;72;86;41;27;4;0;243;247;3.375;35;48;23;10;2;0;127;117;37;38;18;17;2;0;116;130
https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026 ;Detroit Red Wings;DET;71;84;38;25;8;0;207;211;2.915493;36;43;20;13;3;0;108;115;35;41;18;12;5;0;99;96
https://assets.nhle.com/logos/nhl/svg/PHI_light.svg ;Philadelphia Flyers;PHI;71;82;35;24;12;0;209;215;2.943662;36;40;16;12;8;0;98;103;35;42;19;12;4;0;111;112
https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg ;Washington Capitals;WSH;73;81;36;28;9;0;227;215;3.109589;38;49;22;11;5;0;124;103;35;32;14;17;4;0;103;112
https://assets.nhle.com/logos/nhl/svg/EDM_light.svg ;Edmonton Oilers;EDM;73;81;36;28;9;0;254;249;3.479452;35;40;18;13;4;0;125;129;38;41;18;15;5;0;129;120
https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026 ;Utah Mammoth;UTA;73;80;37;30;6;0;229;210;3.136986;36;41;19;14;3;0;118;106;37;39;18;16;3;0;111;104
https://assets.nhle.com/logos/nhl/svg/VGK_light.svg ;Vegas Golden Knights;VGK;73;79;32;26;15;0;228;229;3.123288;36;40;16;12;8;0;122;114;37;39;16;14;7;0;106;115
https://assets.nhle.com/logos/nhl/svg/NSH_light.svg ;Nashville Predators;NSH;72;77;34;29;9;0;217;239;3.013889;37;43;20;14;3;0;118;119;35;34;14;15;6;0;99;120
https://assets.nhle.com/logos/nhl/svg/NJD_light.svg ;New Jersey Devils;NJD;71;76;37;32;2;0;197;215;2.774648;35;38;18;15;2;0;99;101;36;38;19;17;0;0;98;114
https://assets.nhle.com/logos/nhl/svg/LAK_light.svg ;Los Angeles Kings;LAK;72;76;29;25;18;0;193;216;2.680556;34;28;10;16;8;0;85;107;38;48;19;9;10;0;108;109
https://assets.nhle.com/logos/nhl/svg/TOR_light.svg ;Toronto Maple Leafs;TOR;73;75;31;29;13;0;229;255;3.136986;38;44;18;12;8;0;128;129;35;31;13;17;5;0;101;126
https://assets.nhle.com/logos/nhl/svg/SEA_light.svg ;Seattle Kraken;SEA;71;74;32;29;10;0;204;221;2.873239;36;39;17;14;5;0;106;106;35;35;15;15;5;0;98;115
https://assets.nhle.com/logos/nhl/svg/FLA_light.svg ;Florida Panthers;FLA;71;73;35;33;3;0;213;236;3.0;37;41;19;15;3;0;114;116;34;32;16;18;0;0;99;120
https://assets.nhle.com/logos/nhl/svg/WPG_light.svg ;Winnipeg Jets;WPG;72;72;30;30;12;0;205;223;2.847222;38;42;18;14;6;0;116;112;34;30;12;16;6;0;89;111
https://assets.nhle.com/logos/nhl/svg/SJS_light.svg ;San Jose Sharks;SJS;70;71;32;31;7;0;212;251;3.028571;34;39;17;12;5;0;102;117;36;32;15;19;2;0;110;134
https://assets.nhle.com/logos/nhl/svg/STL_light.svg?season=20252026 ;St. Louis Blues;STL;71;71;30;30;11;0;186;226;2.619718;36;41;17;12;7;0;95;111;35;30;13;18;4;0;91;115
https://assets.nhle.com/logos/nhl/svg/CGY_light.svg ;Calgary Flames;CGY;72;68;30;34;8;0;182;222;2.527778;37;45;20;12;5;0;105;99;35;23;10;22;3;0;77;123
https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026 ;Chicago Blackhawks;CHI;72;67;27;32;13;0;188;233;2.611111;36;33;13;16;7;0;93;112;36;34;14;16;6;0;95;121
https://assets.nhle.com/logos/nhl/svg/NYR_light.svg ;New York Rangers;NYR;72;65;28;35;9;0;202;230;2.805556;34;25;9;18;7;0;76;111;38;40;19;17;2;0;126;119
https://assets.nhle.com/logos/nhl/svg/VAN_light.svg ;Vancouver Canucks;VAN;71;50;21;42;8;0;182;266;2.56338;38;21;8;25;5;0;92;148;33;29;13;17;3;0;90;118
