teamLogo;teamName;teamAbbrev;gamesPlayed;points;wins;losses;otLosses;ties;goalFor;goalAgainst;goalsForPctg;homeGamesPlayed;homePoints;homeWins;homeLosses;homeOtLosses;homeTies;homeGoalsFor;homeGoalsAgainst;roadGamesPlayed;roadPoints;roadWins;roadLosses;roadOtLosses;roadTies;roadGoalsFor;roadGoalsAgainst
https://assets.nhle.com/logos/nhl/svg/NYR_light.svg ;New York Rangers;NYR;82;114;55;23;4;0;282;229;3.439024;41;60;30;11;0;0;142;110;41;54;25;12;4;0;140;119
https://assets.nhle.com/logos/nhl/svg/DAL_light.svg ;Dallas Stars;DAL;82;113;52;21;9;0;298;234;3.634146;41;56;26;11;4;0;155;124;41;57;26;10;5;0;143;110
https://assets.nhle.com/logos/nhl/svg/CAR_light.svg ;Carolina Hurricanes;CAR;82;111;52;23;7;0;279;216;3.402439;41;58;27;10;4;0;136;101;41;53;25;13;3;0;143;115
https://assets.nhle.com/logos/nhl/svg/WPG_light.svg ;Winnipeg Jets;WPG;82;110;52;24;6;0;259;199;3.158537;41;57;27;11;3;0;137;98;41;53;25;13;3;0;122;101
https://assets.nhle.com/logos/nhl/svg/FLA_light.svg ;Florida Panthers;FLA;82;110;52;24;6;0;268;200;3.268293;41;54;26;13;2;0;129;105;41;56;26;11;4;0;139;95
https://assets.nhle.com/logos/nhl/svg/VAN_light.svg ;Vancouver Canucks;VAN;82;109;50;23;9;0;279;223;3.402439;41;59;27;9;5;0;144;99;41;50;23;14;4;0;135;124
https://assets.nhle.com/logos/nhl/svg/BOS_20232024_light.svg ;Boston Bruins;BOS;82;109;47;20;15;0;267;224;3.256098;41;54;24;11;6;0;138;111;41;55;23;9;9;0;129;113
https://assets.nhle.com/logos/nhl/svg/COL_light.svg ;Colorado Avalanche;COL;82;107;50;25;7;0;304;254;3.707317;41;63;31;9;1;0;173;112;41;44;19;16;6;0;131;142
https://assets.nhle.com/logos/nhl/svg/EDM_light.svg ;Edmonton Oilers;EDM;82;104;49;27;6;0;294;237;3.585366;41;60;28;9;4;0;170;106;41;44;21;18;2;0;124;131
https://assets.nhle.com/logos/nhl/svg/TOR_light.svg ;Toronto Maple Leafs;TOR;82;102;46;26;10;0;303;263;3.695122;41;48;22;15;4;0;156;141;41;54;24;11;6;0;147;122
https://assets.nhle.com/logos/nhl/svg/NSH_light.svg ;Nashville Predators;NSH;82;99;47;30;5;0;269;248;3.280488;41;48;23;16;2;0;135;126;41;51;24;14;3;0;134;122
