teamLogo;teamName;teamAbbrev;gamesPlayed;points;wins;losses;otLosses;ties;goalFor;goalAgainst;goalsForPctg;homeGamesPlayed;homePoints;homeWins;homeLosses;homeOtLosses;homeTies;homeGoalsFor;homeGoalsAgainst;roadGamesPlayed;roadPoints;roadWins;roadLosses;roadOtLosses;roadTies;roadGoalsFor;roadGoalsAgainst
https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg ;Boston Bruins;BOS;82;135;65;12;5;0;305;177;3.719512;41;71;34;4;3;0;145;74;41;64;31;8;2;0;160;103
https://assets.nhle.com/logos/nhl/svg/CAR_light.svg ;Carolina Hurricanes;CAR;82;113;52;21;9;0;266;213;3.243902;41;59;28;10;3;0;137;103;41;54;24;11;6;0;129;110
https://assets.nhle.com/logos/nhl/svg/NJD_light.svg ;New Jersey Devils;NJD;82;112;52;22;8;0;291;226;3.54878;41;52;24;13;4;0;137;107;41;60;28;9;4;0;154;119
https://assets.nhle.com/logos/nhl/svg/TOR_light.svg ;Toronto Maple Leafs;TOR;82;111;50;21;11;0;279;222;3.402439;41;60;27;8;6;0;147;105;41;51;23;13;5;0;132;117
https://assets.nhle.com/logos/nhl/svg/VGK_light.svg ;Vegas Golden Knights;VGK;82;111;51;22;9;0;272;229;3.317073;41;51;25;15;1;0;133;116;41;60;26;7;8;0;139;113
https://assets.nhle.com/logos/nhl/svg/EDM_light.svg ;Edmonton Oilers;EDM;82;109;50;23;9;0;325;260;3.963415;41;52;23;12;6;0;159;126;41;57;27;11;3;0;166;134
https://assets.nhle.com/logos/nhl/svg/COL_light.svg ;Colorado Avalanche;COL;82;109;51;24;7;0;280;226;3.414634;41;50;22;13;6;0;137;112;41;59;29;11;1;0;143;114
https://assets.nhle.com/logos/nhl/svg/DAL_light.svg ;Dallas Stars;DAL;82;108;47;21;14;0;285;218;3.47561;41;53;22;10;9;0;142;115;41;55;25;11;5;0;143;103
https://assets.nhle.com/logos/nhl/svg/NYR_light.svg ;New York Rangers;NYR;82;107;47;22;13;0;277;219;3.378049;41;51;23;13;5;0;141;116;41;56;24;9;8;0;136;103
https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg ;Los Angeles Kings;LAK;82;104;47;25;10;0;280;257;3.414634;41;56;26;11;4;0;148;121;41;48;21;14;6;0;132;136
https://assets.nhle.com/logos/nhl/svg/MIN_light.svg ;Minnesota Wild;MIN;82;103;46;25;11;0;246;225;3.0;41;54;25;12;4;0;123;112;41;49;21;13;7;0;123;113
https://assets.nhle.com/logos/nhl/svg/SEA_light.svg ;Seattle Kraken;SEA;82;100;46;28;8;0;289;256;3.52439;41;44;20;17;4;0;137;127;41;56;26;11;4;0;152;129
https://assets.nhle.com/logos/nhl/svg/TBL_light.svg ;Tampa Bay Lightning;TBL;82;98;46;30;6;0;283;254;3.45122;41;61;28;8;5;0;165;108;41;37;18;22;1;0;118;146
https://assets.nhle.com/logos/nhl/svg/WPG_light.svg ;Winnipeg Jets;WPG;82;95;46;33;3;0;247;225;3.012195;41;54;26;13;2;0;132;103;41;41;20;20;1;0;115;122
https://assets.nhle.com/logos/nhl/svg/NYI_light.svg ;New York Islanders;NYI;82;93;42;31;9;0;243;222;2.963415;41;53;25;13;3;0;126;94;41;40;17;18;6;0;117;128
https://assets.nhle.com/logos/nhl/svg/CGY_light.svg ;Calgary Flames;CGY;82;93;38;27;17;0;260;252;3.170732;41;45;20;16;5;0;127;126;41;48;18;11;12;0;133;126
https://assets.nhle.com/logos/nhl/svg/FLA_light.svg ;Florida Panthers;FLA;82;92;42;32;8;0;290;273;3.536585;41;51;23;13;5;0;153;125;41;41;19;19;3;0;137;148
https://assets.nhle.com/logos/nhl/svg/NSH_light.svg ;Nashville Predators;NSH;82;92;42;32;8;0;229;238;2.792683;41;48;22;15;4;0;117;117;41;44;20;17;4;0;112;121
https://assets.nhle.com/logos/nhl/svg/PIT_light.svg ;Pittsburgh Penguins;PIT;82;91;40;31;11;0;262;264;3.195122;41;51;23;13;5;0;143;128;41;40;17;18;6;0;119;136
https://assets.nhle.com/logos/nhl/svg/BUF_light.svg ;Buffalo Sabres;BUF;82;91;42;33;7;0;296;300;3.609756;41;38;17;20;4;0;145;164;41;53;25;13;3;0;151;136
https://assets.nhle.com/logos/nhl/svg/OTT_light.svg ;Ottawa Senators;OTT;82;86;39;35;8;0;261;271;3.182927;41;51;24;14;3;0;152;124;41;35;15;21;5;0;109;147
https://assets.nhle.com/logos/nhl/svg/VAN_light.svg ;Vancouver Canucks;VAN;82;83;38;37;7;0;276;298;3.365854;41;40;19;20;2;0;133;143;41;43;19;17;5;0;143;155
https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg ;St. Louis Blues;STL;82;81;37;38;7;0;263;301;3.207317;41;42;18;17;6;0;130;145;41;39;19;21;1;0;133;156
https://assets.nhle.com/logos/nhl/svg/DET_light.svg ;Detroit Red Wings;DET;82;80;35;37;10;0;240;279;2.926829;41;43;19;17;5;0;125;137;41;37;16;20;5;0;115;142
https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg ;Washington Capitals;WSH;82;80;35;37;10;0;255;265;3.109756;41;43;18;16;7;0;129;127;41;37;17;21;3;0;126;138
https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg ;Philadelphia Flyers;PHI;82;75;31;38;13;0;222;277;2.707317;41;41;18;18;5;0;123;136;41;34;13;20;8;0;99;141
https://assets.nhle.com/logos/nhl/svg/ARI_20202021-20232024_light.svg ;Arizona Coyotes;ARI;82;70;28;40;14;0;228;299;2.780488;41;47;21;15;5;0;130;142;41;23;7;25;9;0;98;157
https://assets.nhle.com/logos/nhl/svg/MTL_light.svg ;Montréal Canadiens;MTL;82;68;31;45;6;0;232;307;2.829268;41;37;17;21;3;0;123;152;41;31;14;24;3;0;109;155
https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg ;San Jose Sharks;SJS;82;60;22;44;16;0;234;321;2.853659;41;27;8;22;11;0;114;169;41;33;14;22;5;0;120;152
https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg ;Chicago Blackhawks;CHI;82;59;26;49;7;0;204;301;2.487805;41;32;14;23;4;0;115;155;41;27;12;26;3;0;89;146
https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg ;Columbus Blue Jackets;CBJ;82;59;25;48;9;0;214;330;2.609756;41;34;16;23;2;0;114;160;41;25;9;25;7;0;100;170
https://assets.nhle.com/logos/nhl/svg/ANA_20132014-20232024_light.svg ;Anaheim Ducks;ANA;82;58;23;47;12;0;209;338;2.54878;41;28;12;25;4;0;105;167;41;30;11;22;8;0;104;171
