teamLogo;teamName;teamAbbrev;gamesPlayed;points;wins;losses;otLosses;ties;goalFor;goalAgainst;goalsForPctg;homeGamesPlayed;homePoints;homeWins;homeLosses;homeOtLosses;homeTies;homeGoalsFor;homeGoalsAgainst;roadGamesPlayed;roadPoints;roadWins;roadLosses;roadOtLosses;roadTies;roadGoalsFor;roadGoalsAgainst
https://assets.nhle.com/logos/nhl/svg/FLA_light.svg ;Florida Panthers;FLA;82;122;58;18;6;0;340;246;4.146341;41;68;34;7;0;0;192;119;41;54;24;11;6;0;148;127
https://assets.nhle.com/logos/nhl/svg/COL_light.svg ;Colorado Avalanche;COL;82;119;56;19;7;0;312;234;3.804878;41;68;32;5;4;0;172;107;41;51;24;14;3;0;140;127
https://assets.nhle.com/logos/nhl/svg/CAR_light.svg ;Carolina Hurricanes;CAR;82;116;54;20;8;0;278;202;3.390244;41;62;29;8;4;0;135;89;41;54;25;12;4;0;143;113
https://assets.nhle.com/logos/nhl/svg/TOR_light.svg ;Toronto Maple Leafs;TOR;82;115;54;21;7;0;315;253;3.841463;41;64;31;8;2;0;154;106;41;51;23;13;5;0;161;147
https://assets.nhle.com/logos/nhl/svg/MIN_light.svg ;Minnesota Wild;MIN;82;113;53;22;7;0;310;253;3.780488;41;64;31;8;2;0;170;121;41;49;22;14;5;0;140;132
https://assets.nhle.com/logos/nhl/svg/CGY_light.svg ;Calgary Flames;CGY;82;111;50;21;11;0;293;208;3.573171;41;57;25;9;7;0;156;99;41;54;25;12;4;0;137;109
https://assets.nhle.com/logos/nhl/svg/NYR_light.svg ;New York Rangers;NYR;82;110;52;24;6;0;254;207;3.097561;41;58;27;10;4;0;132;96;41;52;25;14;2;0;122;111
https://assets.nhle.com/logos/nhl/svg/TBL_light.svg ;Tampa Bay Lightning;TBL;82;110;51;23;8;0;287;233;3.5;41;60;27;8;6;0;143;106;41;50;24;15;2;0;144;127
https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg ;St. Louis Blues;STL;82;109;49;22;11;0;311;242;3.792683;41;57;26;10;5;0;156;115;41;52;23;12;6;0;155;127
https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg ;Boston Bruins;BOS;82;107;51;26;5;0;255;220;3.109756;41;54;26;13;2;0;132;114;41;53;25;13;3;0;123;106
https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg ;Edmonton Oilers;EDM;82;104;49;27;6;0;290;252;3.536585;41;57;28;12;1;0;156;128;41;47;21;15;5;0;134;124
https://assets.nhle.com/logos/nhl/svg/PIT_light.svg ;Pittsburgh Penguins;PIT;82;103;46;25;11;0;272;229;3.317073;41;51;23;13;5;0;146;123;41;52;23;12;6;0;126;106
https://assets.nhle.com/logos/nhl/svg/WSH_light.svg ;Washington Capitals;WSH;82;100;44;26;12;0;275;245;3.353659;41;44;19;16;6;0;131;129;41;56;25;10;6;0;144;116
https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg ;Los Angeles Kings;LAK;82;99;44;27;11;0;239;236;2.914634;41;46;21;16;4;0;122;115;41;53;23;11;7;0;117;121
https://assets.nhle.com/logos/nhl/svg/DAL_light.svg ;Dallas Stars;DAL;82;98;46;30;6;0;238;246;2.902439;41;58;27;10;4;0;132;113;41;40;19;20;2;0;106;133
https://assets.nhle.com/logos/nhl/svg/NSH_light.svg ;Nashville Predators;NSH;82;97;45;30;7;0;266;252;3.243902;41;52;25;14;2;0;130;112;41;45;20;16;5;0;136;140
https://assets.nhle.com/logos/nhl/svg/VGK_light.svg ;Vegas Golden Knights;VGK;82;94;43;31;8;0;266;248;3.243902;41;48;22;15;4;0;139;122;41;46;21;16;4;0;127;126
https://assets.nhle.com/logos/nhl/svg/VAN_light.svg ;Vancouver Canucks;VAN;82;92;40;30;12;0;249;236;3.036585;41;47;20;14;7;0;127;109;41;45;20;16;5;0;122;127
https://assets.nhle.com/logos/nhl/svg/WPG_light.svg ;Winnipeg Jets;WPG;82;89;39;32;11;0;252;257;3.073171;41;49;23;15;3;0;141;116;41;40;16;17;8;0;111;141
https://assets.nhle.com/logos/nhl/svg/NYI_light.svg ;New York Islanders;NYI;82;84;37;35;10;0;231;237;2.817073;41;45;20;16;5;0;120;108;41;39;17;19;5;0;111;129
https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg ;Columbus Blue Jackets;CBJ;82;81;37;38;7;0;262;300;3.195122;41;47;21;15;5;0;141;142;41;34;16;23;2;0;121;158
https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg ;San Jose Sharks;SJS;82;77;32;37;13;0;214;264;2.609756;41;41;18;18;5;0;107;133;41;36;14;19;8;0;107;131
