game_id,date,season,game_type,home_team,home_score,away_team,away_score
2015020001,2015-10-07,20152016,2,TOR,1,MTL,3
2015020002,2015-10-07,20152016,2,CHI,2,NYR,3
2015020003,2015-10-07,20152016,2,CGY,1,VAN,5
2015020004,2015-10-07,20152016,2,LAK,1,SJS,5
2015020005,2015-10-08,20152016,2,BOS,2,WPG,6
2015020006,2015-10-08,20152016,2,BUF,1,OTT,3
2015020007,2015-10-08,20152016,2,TBL,3,PHI,2
2015020008,2015-10-08,20152016,2,STL,3,EDM,1
2015020009,2015-10-08,20152016,2,NSH,2,CAR,1
2015020010,2015-10-08,20152016,2,DAL,3,PIT,0
2015020011,2015-10-08,20152016,2,COL,4,MIN,5
2015020012,2015-10-09,20152016,2,NJD,1,WPG,3
2015020013,2015-10-09,20152016,2,CBJ,2,NYR,4
2015020014,2015-10-09,20152016,2,DET,4,TOR,0
2015020015,2015-10-09,20152016,2,NYI,2,CHI,3
2015020016,2015-10-09,20152016,2,LAK,1,ARI,4
2015020017,2015-10-10,20152016,2,BUF,1,TBL,4
2015020018,2015-10-10,20152016,2,BOS,2,MTL,4
2015020019,2015-10-10,20152016,2,TOR,4,OTT,5
2015020020,2015-10-10,20152016,2,FLA,7,PHI,1
2015020021,2015-10-10,20152016,2,NYR,5,CBJ,2
2015020022,2015-10-10,20152016,2,WSH,5,NJD,3
2015020023,2015-10-10,20152016,2,CAR,3,DET,4
2015020024,2015-10-10,20152016,2,NSH,2,EDM,0
2015020025,2015-10-10,20152016,2,MIN,3,STL,2
2015020026,2015-10-10,20152016,2,CHI,4,NYI,1
2015020027,2015-10-10,20152016,2,COL,6,DAL,3
2015020028,2015-10-10,20152016,2,VAN,2,CGY,3
2015020029,2015-10-10,20152016,2,ARI,2,PIT,1
2015020030,2015-10-10,20152016,2,SJS,2,ANA,0
2015020031,2015-10-11,20152016,2,OTT,1,MTL,3
2015020032,2015-10-12,20152016,2,BOS,3,TBL,6
2015020033,2015-10-12,20152016,2,NYI,4,WPG,2
2015020034,2015-10-12,20152016,2,BUF,4,CBJ,2
2015020035,2015-10-12,20152016,2,PHI,1,FLA,0
2015020036,2015-10-12,20152016,2,ANA,1,VAN,2
2015020037,2015-10-13,20152016,2,NJD,1,NSH,3
2015020038,2015-10-13,20152016,2,NYR,1,WPG,4
2015020039,2015-10-13,20152016,2,PIT,2,MTL,3
2015020040,2015-10-13,20152016,2,WSH,0,SJS,5
2015020041,2015-10-13,20152016,2,CAR,1,FLA,4
2015020042,2015-10-13,20152016,2,DET,3,TBL,1
2015020043,2015-10-13,20152016,2,DAL,4,EDM,2
2015020044,2015-10-13,20152016,2,CGY,3,STL,4
2015020045,2015-10-13,20152016,2,LAK,0,VAN,3
2015020046,2015-10-14,20152016,2,CBJ,3,OTT,7
2015020047,2015-10-14,20152016,2,PHI,3,CHI,0
2015020048,2015-10-14,20152016,2,COL,2,BOS,6
2015020049,2015-10-14,20152016,2,ANA,0,ARI,4
2015020050,2015-10-15,20152016,2,NYI,4,NSH,3
