"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"39","Marcus Johansson","MIN","L","67","1041.2666666667","14","30","20","10","44","67.69","94","14.89","11.17","183","135","98","45","3","15","12","6","6","0","0","11","48","19","28","54","19","6","10","37.50"
"75","Tyler Toffoli","S.J","C","69","1052.0166666667","18","26","15","11","44","62.86","155","11.61","20.7","316","226","185","89","2","35","10","5","5","0","0","6","50","16","45","35","29","5","16","23.81"
"165","Chandler Stephenson","SEA","C","70","1372.8166666667","15","29","12","17","44","61.97","89","16.85","8.88","145","118","82","36","7","12","14","7","7","0","0","12","60","26","18","52","51","679","621","52.23"
"268","Christian Dvorak","PHI","C","72","1329.7166666667","15","29","21","8","44","58.67","137","10.95","24.97","233","203","181","118","10","24","25","11","10","1","0","12","58","20","34","56","44","545","474","53.48"
"315","Roope Hintz","DAL","C","53","919.1","15","29","18","11","44","51.76","126","11.90","20.62","205","175","155","94","6","27","18","9","9","0","0","13","41","5","60","40","18","430","297","59.15"
"639","Anton Lundell","FLA","C","64","1225.7333333333","18","26","12","14","44","58.67","138","13.04","19.7","281","219","162","77","4","24","34","16","16","0","0","22","64","14","75","58","35","580","540","51.79"
"195","Pavel Buchnevich","STL","L","72","1306.3666666667","16","27","19","8","43","62.32","129","12.40","17.25","252","197","168","76","4","22","26","12","12","0","0","9","56","24","27","44","33","81","124","39.51"
"214","Artturi Lehkonen","COL","L","61","1131.7","19","24","18","6","43","53.75","137","13.87","24.02","260","208","201","117","3","25","14","7","7","0","0","10","40","11","43","79","29","3","15","16.67"
"664","JJ Peterka","UTA","R","74","1184.65","22","21","10","11","43","71.67","140","15.71","14.87","293","208","136","57","10","22","26","13","13","0","0","10","82","16","15","73","18","8","16","33.33"
"673","Bobby McMann","SEA, TOR","C","68","1072.5","26","17","11","6","43","71.67","148","17.57","18.65","257","213","134","62","8","20","32","13","11","2","0","10","36","17","152","51","25","6","5","54.55"
"695","William Eklund","S.J","L","67","1268.4166666667","12","31","20","11","43","58.11","160","7.50","21.23","298","225","185","90","2","41","28","14","14","0","0","20","58","18","57","65","49","8","14","36.36"
"85","Vladimir Tarasenko","MIN","R","67","1003.4333333333","21","21","13","8","42","76.36","133","15.79","16.09","249","191","141","57","3","24","8","4","4","0","0","12","58","12","54","64","28","5","4","55.56"
"226","Valeri Nichushkin","COL","R","63","1131.8333333333","15","27","12","15","42","60.87","140","10.71","21.03","290","216","164","79","8","31","24","8","7","0","1","12","52","23","53","56","23","2","2","50.00"
"364","Adam Fox","NYR","D","47","1113.0166666667","6","36","15","21","42","55.26","78","7.69","7.87","234","133","72","12","7","22","18","9","9","0","0","5","58","34","21","66","68","0","0","-"
"644","Quinton Byfield","L.A","R","70","1395.7833333333","18","24","16","8","42","57.53","156","11.54","20.45","314","244","171","82","10","25","42","20","20","0","0","30","68","34","57","81","38","460","553","45.41"
"300","Vince Dunn","SEA","D","71","1554.85","11","30","16","14","41","51.25","153","7.19","7.93","327","206","93","15","7","25","40","20","20","0","0","15","81","27","22","76","71","0","0","-"
"398","Filip Hronek","VAN","D","72","1776.5833333333","8","33","16","17","41","48.81","111","7.21","6.09","261","174","54","6","8","24","22","11","11","0","0","10","90","31","118","117","94","0","0","-"
"465","Noah Cates","PHI","L","73","1192.6666666667","17","24","17","7","41","66.13","114","14.91","20.83","213","166","150","96","6","24","42","14","11","2","1","14","34","23","84","69","49","413","504","45.04"
"23","Mikael Backlund","CGY","C","73","1307.0166666667","16","24","21","3","40","66.67","172","9.30","18.72","312","248","130","73","6","26","16","8","8","0","0","7","72","27","22","46","24","641","648","49.73"
"90","Taylor Hall","CAR","L","73","1048.2833333333","15","25","16","9","40","70.18","126","11.90","18.35","253","189","155","81","5","20","44","18","17","0","1","22","62","19","51","143","27","19","26","42.22"
"137","Rickard Rakell","PIT","R","52","994.6","17","23","14","9","40","54.79","138","12.32","23.54","248","201","187","107","2","29","6","3","3","0","0","8","40","21","67","69","39","60","108","35.71"
"250","Kevin Fiala","L.A","L","56","1070.8","18","22","12","10","40","74.07","147","12.24","18.88","320","236","168","60","5","25","34","17","17","0","0","18","75","19","39","54","24","7","18","28.00"
"294","Rasmus Andersson","CGY, VGK","D","73","1697.65","14","26","19","7","40","44.44","157","8.92","11.68","359","246","103","27","8","30","69","29","27","1","1","18","89","23","33","100","136","0","0","-"
"431","Casey Mittelstadt","BOS","C","64","968.03333333333","14","26","14","12","40","60.61","72","19.44","10.62","148","124","94","46","3","9","12","6","6","0","0","11","68","10","22","58","18","88","85","50.87"
"859","Matvei Michkov","PHI","R","72","1072.75","16","24","14","10","40","67.80","139","11.51","18.09","267","203","148","79","1","33","65","30","29","1","0","17","78","19","30","65","17","1","10","9.09"
"884","Collin Graf","S.J","R","70","1150.0833333333","19","21","11","10","40","76.92","105","18.10","17.25","193","148","136","86","4","24","10","5","5","0","0","12","48","27","71","37","43","7","16","30.43"
"56","Mattias Ekholm","EDM","D","74","1533.1833333333","6","33","14","19","39","38.24","126","4.76","7.95","287","194","92","31","5","28","28","14","14","0","0","9","93","24","63","106","108","0","0","-"
"63","Anders Lee","NYI","L","74","1155.8833333333","16","23","16","7","39","56.52","182","8.79","36.09","337","291","242","169","6","68","34","14","12","2","0","15","53","10","77","67","33","62","54","53.45"
"74","Jason Zucker","BUF","L","55","857.48333333333","22","17","9","8","39","61.90","115","19.13","20.04","204","175","150","104","5","17","21","9","8","1","0","12","62","7","52","42","17","45","71","38.79"
"204","Andrew Copp","DET","C","70","1149.65","9","30","16","14","39","60.94","101","8.91","20.38","189","160","133","87","4","22","22","11","11","0","0","13","66","19","38","54","55","461","401","53.48"
"384","Jordan Kyrou","STL","R","62","985.8","17","22","10","12","39","75.00","153","11.11","17.1","310","221","171","58","2","34","6","3","3","0","0","9","40","20","12","50","22","3","13","18.75"
"489","Mattias Samuelsson","BUF","D","71","1633.8","12","27","11","16","39","41.49","101","11.88","7.08","227","148","72","13","8","12","24","12","12","0","0","11","73","16","120","150","141","0","0","-"
"583","Shane Pinto","OTT","C","63","1177.5833333333","19","20","13","7","39","63.93","140","13.57","22.42","279","223","181","95","7","31","40","20","20","0","0","19","44","21","83","67","43","346","329","51.26"
"587","Simon Holmstrom","NYI","R","72","1202.5666666667","19","20","12","8","39","62.90","92","20.65","12.39","188","154","120","46","7","14","16","8","8","0","0","19","46","27","14","63","42","4","12","25.00"
"698","Matt Coronato","CGY","R","72","1195.7666666667","17","22","12","10","39","68.42","180","9.44","21.19","368","256","198","80","6","33","22","11","11","0","0","14","52","16","18","53","22","60","95","38.71"
"790","Jimmy Snuggerud","STL","R","60","990.48333333333","17","22","11","11","39","68.42","141","12.06","18.48","287","222","160","60","5","29","14","7","7","0","0","12","45","22","66","61","34","4","8","33.33"
"302","Timo Meier","N.J","R","68","1261.9","22","16","9","7","38","59.38","247","8.91","35.38","498","395","270","129","7","63","20","10","10","0","0","14","67","22","120","89","48","57","66","46.34"
"313","Brock Boeser","VAN","R","65","1228.6333333333","17","21","17","4","38","58.46","144","11.81","19.63","294","217","173","70","4","29","8","4","4","0","0","7","50","14","45","24","24","55","69","44.35"
"326","Lawson Crouse","UTA","L","73","1203.8166666667","20","18","13","5","38","55.88","125","16.00","21.61","257","205","168","97","11","25","44","15","12","2","1","12","43","13","197","42","49","27","51","34.62"
"355","Mason Marchment","CBJ, SEA","L","61","1055.3166666667","18","20","9","11","38","65.52","107","16.82","15.7","237","176","132","55","5","19","52","22","21","0","1","18","78","25","76","90","22","15","26","36.59"
"444","Morgan Frost","CGY","C","73","1120.6666666667","18","20","11","9","38","59.38","121","14.88","16.54","224","175","143","74","2","24","24","12","12","0","0","13","43","17","47","30","35","527","399","56.91"
"710","Brandt Clarke","L.A","D","73","1442.0666666667","8","30","22","8","38","49.35","146","5.48","8.75","292","202","95","23","3","33","61","25","23","1","1","19","80","22","29","97","151","0","0","-"
"778","Frank Nazar","CHI","C","58","1073.65","14","24","12","12","38","70.37","123","11.38","18.94","232","191","152","75","3","18","24","12","12","0","0","20","63","24","31","85","40","360","400","47.37"
"44","Matt Duchene","DAL","C","49","804.08333333333","14","23","16","7","37","61.67","74","18.92","10.99","149","111","90","48","6","9","8","4","4","0","0","8","56","9","24","40","22","228","209","52.17"
"181","Connor Brown","N.J","R","66","1139.0333333333","15","22","14","8","37","62.71","99","15.15","16.89","182","160","118","69","6","17","12","6","6","0","0","6","46","18","20","59","31","5","15","25.00"
"309","Tommy Novak","PIT","C","73","1029.2833333333","15","22","16","6","37","62.71","114","13.16","15.75","219","179","156","72","5","13","24","11","11","0","0","7","49","24","11","131","30","179","259","40.87"
"549","Bowen Byram","BUF","D","74","1662.0666666667","10","27","12","15","37","38.95","102","9.80","10.42","223","177","84","25","4","13","48","20","19","0","1","12","78","19","48","135","84","0","0","-"
"576","Connor McMichael","WSH","C, L","70","1188.25","10","27","20","7","37","63.79","129","7.75","20.05","231","185","142","79","10","24","24","12","12","0","0","8","48","27","39","49","39","243","325","42.78"
"600","Matias Maccelli","TOR","L","63","925.36666666667","14","23","11","12","37","71.15","85","16.47","11.52","167","132","95","50","1","18","16","8","8","0","0","5","60","13","19","54","17","3","4","42.86"
"724","Oliver Kapanen","MTL","C","73","1072.8","22","15","8","7","37","62.71","122","18.03","17.09","216","185","148","72","4","20","20","10","10","0","0","7","30","12","26","59","68","283","324","46.62"
"839","Ryan Leonard","WSH","R","67","967.76666666667","15","22","15","7","37","63.79","132","11.36","14.31","291","209","155","54","2","35","39","17","16","1","0","31","67","11","107","85","22","6","5","54.55"
"47","Oliver Ekman-Larsson","TOR","D","71","1479.7666666667","8","28","11","17","36","38.71","102","7.84","5.34","249","151","74","14","3","17","58","29","29","0","0","16","100","16","82","104","63","0","0","-"
"259","Jared McCann","SEA","L","45","743.85","18","18","14","4","36","72.00","105","17.14","13.72","207","162","102","38","6","19","11","4","3","1","0","18","49","11","37","42","23","10","10","50.00"
"620","Dylan Holloway","STL","L","49","886.31666666667","17","19","9","10","36","69.23","129","13.18","12.52","238","172","135","49","5","21","16","5","3","2","0","11","33","12","117","71","34","30","32","48.39"
"637","Dawson Mercer","N.J","C","73","1322","15","21","13","8","36","56.25","136","11.03","22.92","283","220","190","99","9","30","33","11","9","1","1","13","63","23","30","87","43","114","177","39.18"
"655","Alex Laferriere","L.A","R","73","1310.0833333333","18","18","8","10","36","67.92","177","10.17","22.65","392","289","233","111","8","36","16","8","8","0","0","13","76","19","225","90","45","172","242","41.55"
"826","Zach Benson","BUF","L","57","901.65","10","26","14","12","36","58.06","94","10.64","15.46","163","135","112","77","5","14","24","12","12","0","0","17","41","24","36","80","18","6","8","42.86"
"46","Brayden Schenn","NYI, STL","C","72","1197.7166666667","15","20","11","9","35","63.64","109","13.76","17.91","217","168","140","68","2","17","66","20","13","6","1","15","47","17","157","51","39","414","360","53.49"
"78","Justin Faulk","DET, STL","D","71","1578.05","12","23","13","10","35","47.30","129","9.30","7.92","273","179","72","15","3","32","36","17","17","0","0","6","60","27","63","70","122","0","0","-"
"210","Ryan Hartman","MIN","R","70","1169.9166666667","18","17","12","5","35","61.40","152","11.84","22.58","322","251","186","87","4","38","44","19","17","2","0","28","61","22","61","71","93","445","540","45.18"
"222","Sean Monahan","CBJ","C","70","1208.8833333333","12","23","12","11","35","50.00","117","10.26","17.54","198","154","121","66","4","20","12","6","6","0","0","10","54","24","40","42","34","598","538","52.64"
"436","Eeli Tolvanen","SEA","R","69","1123.7333333333","12","23","14","9","35","63.64","123","9.76","13.51","260","184","128","44","7","14","26","13","13","0","0","10","43","15","171","57","77","0","1","0.00"
"547","Peyton Krebs","BUF","C","74","1010.8833333333","10","25","17","8","35","64.81","81","12.35","10.67","165","131","83","37","2","10","76","22","16","4","2","26","50","20","173","116","37","190","239","44.29"
"650","Mavrik Bourque","DAL","C","74","1129.35","16","19","13","6","35","64.81","131","12.21","17.62","204","173","125","75","4","28","16","8","8","0","0","14","50","14","66","109","20","94","116","44.76"
"2","Corey Perry","L.A, T.B","R","63","869.11666666667","15","19","11","8","34","58.62","101","14.85","18.84","194","155","119","77","4","22","75","22","15","5","2","17","47","5","28","52","18","7","23","23.33"
"6","Anze Kopitar","L.A","C","58","1097.9166666667","12","22","13","9","34","54.84","85","14.12","14.95","179","135","116","66","2","16","10","5","5","0","0","6","49","16","30","31","51","637","482","56.93"
"93","Mikael Granlund","ANA","C","49","924.81666666667","19","15","7","8","34","60.71","100","19.00","14.69","177","145","99","39","4","13","18","9","9","0","0","13","39","17","26","42","32","313","331","48.60"
"115","Boone Jenner","CBJ","C","59","948.56666666667","11","23","16","7","34","75.56","114","9.65","16.06","226","180","128","69","8","17","42","18","16","2","0","13","47","13","128","47","53","159","150","51.46"
"152","Mike Matheson","MTL","D","70","1701.7833333333","6","28","12","16","34","41.98","104","5.77","6.84","248","155","75","11","6","16","28","14","14","0","0","12","85","24","54","85","141","0","0","-"
"208","Shea Theodore","VGK","D","62","1435.8","8","26","11","15","34","43.59","112","7.14","7.75","283","171","82","13","3","22","20","9","9","0","0","8","75","19","2","85","83","0","0","-"
"227","Max Domi","TOR","C","72","1080.4","11","23","18","5","34","69.39","106","10.38","9.27","205","152","95","38","8","20","65","20","15","3","2","16","84","22","34","24","30","163","157","50.94"
"330","Jake DeBrusk","VAN","L","71","1193.9","16","18","9","9","34","53.97","185","8.65","30.38","325","279","226","149","7","47","8","4","4","0","0","8","40","11","60","51","29","12","17","41.38"
"562","Kaapo Kakko","SEA","R","55","785","12","22","10","12","34","70.83","73","16.44","10.18","140","110","76","42","0","14","14","7","7","0","0","7","33","14","27","36","10","15","16","48.39"
"699","Luke Hughes","N.J","D","63","1441.3166666667","6","28","12","16","34","50.00","139","4.32","8.63","355","200","105","17","5","26","28","14","14","0","0","10","104","25","17","80","52","0","0","-"
"715","Mason McTavish","ANA","C","66","1026.0166666667","14","20","13","7","34","58.62","125","11.20","20.8","287","228","162","91","6","32","40","19","19","0","0","15","47","15","82","46","31","355","370","48.97"
"16","Jamie Benn","DAL","L","52","692.45","14","19","10","9","33","66.00","66","21.21","10.69","112","92","81","45","1","13","33","15","14","1","0","4","28","11","76","37","19","43","44","49.43"
"128","Dougie Hamilton","N.J","D","68","1475.0333333333","11","22","9","13","33","45.21","184","5.98","10.19","414","267","108","15","11","41","44","21","21","0","0","4","98","13","81","99","72","0","0","-"
"143","Morgan Rielly","TOR","D","70","1480.1333333333","9","24","9","15","33","36.26","131","6.87","7.66","296","200","95","12","5","26","25","11","10","1","0","7","79","18","30","105","99","0","0","-"
"255","Tony DeAngelo","NYI","D","72","1372.1","5","28","17","11","33","51.56","139","3.60","6.78","299","198","93","13","6","19","41","15","13","1","1","7","94","19","30","71","67","0","0","-"
"279","Michael Bunting","DAL, NSH","L","72","1041.7333333333","14","19","16","3","33","58.93","121","11.57","16.51","267","212","138","73","3","34","20","10","10","0","0","27","55","12","42","52","25","10","20","33.33"
"333","John Marino","UTA","D","74","1503.5166666667","4","29","13","16","33","37.50","52","7.69","4.47","160","88","44","12","3","18","16","8","8","0","0","8","84","20","27","98","66","0","0","-"
"344","Conor Garland","CBJ, VAN","R","63","1112.6","12","21","16","5","33","70.21","128","9.38","14.77","249","201","142","62","8","24","30","11","9","2","0","21","72","26","43","65","30","13","19","40.63"
"372","Sam Steel","DAL","C","72","1156.8166666667","12","21","9","12","33","70.21","82","14.63","12.28","149","121","107","58","6","11","24","11","11","0","0","18","48","20","77","84","29","128","124","50.79"
"482","Joel Farabee","CGY","L","73","1231.9166666667","17","16","10","6","33","68.75","123","13.82","14.52","221","171","129","66","6","25","26","10","8","2","0","21","61","21","48","73","46","22","28","44.00"
"577","Thomas Harley","DAL","D","62","1430.9166666667","6","27","14","13","33","45.83","99","6.06","7.07","261","151","81","9","3","23","22","11","11","0","0","4","77","34","35","146","137","0","0","-"
"593","Vasily Podkolzin","EDM","R","74","1129.0166666667","16","17","10","7","33","55.00","121","13.22","14.65","199","165","125","65","5","20","63","16","9","5","2","13","49","15","222","69","40","18","41","30.51"
"656","Will Cuylle","NYR","L","74","1263.0666666667","16","17","14","3","33","60.00","140","11.43","20.21","295","215","175","91","4","34","43","20","19","1","0","16","50","9","261","77","63","42","44","48.84"
"703","Logan Stankoven","CAR","C","73","1118","14","19","8","11","33","53.23","147","9.52","24.28","282","228","204","94","7","38","23","9","8","1","0","16","44","23","44","108","19","363","458","44.21"
"705","Cole Sillinger","CBJ","C","73","1116.5","8","25","13","12","33","56.90","124","6.45","13.51","221","177","128","51","4","18","37","17","16","1","0","8","56","29","102","72","42","44","67","39.64"
"753","Logan Cooley","UTA","C","46","796.15","20","13","8","5","33","60.00","88","22.73","13.72","156","137","100","65","4","15","24","12","12","0","0","13","59","19","48","59","22","225","285","44.12"
"775","Fraser Minten","BOS","C","74","1145.7666666667","16","17","11","6","33","57.89","106","15.09","14.18","206","154","133","62","10","16","18","9","9","0","0","12","34","25","129","82","47","363","383","48.66"
"896","Ben Kindel","PIT","C","70","1062.65","17","16","12","4","33","61.11","144","11.81","19.5","263","201","161","73","8","23","18","9","9","0","0","16","75","23","30","71","50","252","323","43.83"
"13","Jordan Staal","CAR","C","70","1129.25","19","13","9","4","32","55.17","98","19.39","19.27","207","168","152","83","5","21","29","9","7","1","1","11","44","15","154","66","41","770","631","54.96"
"62","Erik Haula","NSH","L","74","1238.4833333333","11","21","8","13","32","58.18","114","9.65","16.82","230","191","123","71","6","26","54","26","26","0","0","6","55","14","102","58","42","443","448","49.72"
"127","Sean Couturier","PHI","C","70","1182.9666666667","10","22","9","13","32","68.09","108","9.26","14.04","210","163","111","59","13","22","28","14","14","0","0","11","64","31","76","47","37","590","506","53.83"
"157","Teuvo Teravainen","CHI","C","67","1191","13","19","12","7","32","59.26","78","16.67","9.44","170","128","80","34","4","12","6","3","3","0","0","5","64","22","20","43","38","41","63","39.42"
"158","Jacob Trouba","ANA","D","72","1647.2","10","22","12","10","32","41.03","149","6.71","6.92","308","213","66","16","3","28","31","14","13","1","0","12","76","21","123","54","135","0","0","-"
"170","Damon Severson","CBJ","D","71","1496.2","8","24","12","12","32","40.00","93","8.60","8.26","238","149","89","28","4","21","45","21","20","1","0","7","82","28","39","52","86","0","0","-"
"206","Andre Burakovsky","CHI","L","68","1142.1","11","21","10","11","32","54.24","83","13.25","11.08","175","120","108","49","5","14","16","8","8","0","0","9","57","29","18","78","31","4","6","40.00"
"319","Jack Roslovic","EDM","C","61","960.08333333333","20","12","5","7","32","61.54","126","15.87","14.92","235","194","139","59","1","16","16","8","8","0","0","14","56","13","34","53","23","126","112","52.94"
"491","K'Andre Miller","CAR","D","65","1464.3666666667","6","26","12","14","32","44.44","110","5.45","4.92","277","172","77","12","7","15","50","25","25","0","0","11","72","41","90","60","71","0","1","0.00"
"603","Dmitri Voronkov","CBJ","L","63","878.21666666667","17","15","9","6","32","59.26","109","15.60","18.77","194","167","137","92","1","22","59","24","21","3","0","7","41","9","105","32","27","6","19","24.00"
"624","Justin Sourdif","WSH","C, R","70","1024.1166666667","15","17","11","6","32","57.14","103","14.56","15.64","208","164","124","72","2","21","31","14","13","1","0","24","48","18","91","82","38","279","343","44.86"
"678","Yegor Chinakhov","CBJ, PIT","R","64","841.88333333333","17","15","7","8","32","69.57","122","13.93","11.91","260","188","130","49","12","15","10","5","5","0","0","10","35","9","48","31","27","3","6","33.33"
"852","Sam Malinski","COL","D","72","1232.4333333333","4","28","19","9","32","48.48","136","2.94","4.86","340","207","81","5","4","26","18","9","9","0","0","4","63","20","36","193","78","0","0","-"
"111","Jean-Gabriel Pageau","NYI","C","66","1028.3","15","16","10","6","31","70.45","74","20.27","11.01","137","115","92","53","7","8","2","1","1","0","0","4","43","15","104","71","49","584","393","59.77"
"121","Gabriel Landeskog","COL","L","51","837.8","10","21","7","14","31","45.59","112","8.93","16.87","210","174","136","65","6","20","37","17","16","1","0","11","31","13","71","51","27","138","83","62.44"
"253","Travis Sanheim","PHI","D","73","1770.1833333333","8","23","11","12","31","37.35","81","9.88","7.6","218","142","75","16","6","17","20","10","10","0","0","13","93","22","42","92","135","0","0","-"
"266","Brandon Montour","SEA","D","54","1223.55","10","21","12","9","31","58.49","143","6.99","8.95","308","212","75","9","2","24","41","18","17","1","0","11","83","27","59","73","70","0","0","-"
"324","Thomas Chabot","OTT","D","55","1241.55","7","24","14","10","31","39.24","96","7.29","5.23","246","145","66","9","5","22","22","10","10","0","0","6","57","25","36","75","108","0","0","-"
"336","Evan Rodrigues","FLA","C","69","1172.5333333333","11","20","11","9","31","59.62","160","6.88","16.68","316","242","148","75","6","37","38","19","19","0","0","21","47","31","63","67","26","370","421","46.78"
"349","Vladislav Gavrikov","NYR","D","74","1760.45","14","17","8","9","31","44.29","107","13.08","6.43","289","173","80","18","4","26","48","23","23","0","0","6","98","21","44","101","97","0","0","-"
"452","Ryan Poehling","ANA","C","66","990.06666666667","9","22","17","5","31","67.39","78","11.54","9.76","155","122","85","48","7","17","10","5","5","0","0","11","45","14","39","56","76","427","466","47.82"
"524","Linus Karlsson","VAN","C","69","837.86666666667","13","18","11","7","31","68.89","100","13.00","18.62","187","159","135","86","3","30","38","11","9","0","2","19","41","14","79","52","15","13","32","28.89"
"605","Arseny Gritsyuk","N.J","R","66","1001.5","13","18","13","5","31","58.49","149","8.72","13.46","270","215","126","39","5","23","26","13","13","0","0","10","46","24","58","71","18","4","9","30.77"
"666","Marat Khusnutdinov","BOS","C","69","996.4","14","17","6","11","31","58.49","75","18.67","10.66","134","113","91","46","8","8","16","8","8","0","0","17","42","20","39","50","38","52","59","46.85"
"787","Matt Savoie","EDM","C","74","1068.5166666667","14","17","8","9","31","54.39","113","12.39","17.55","199","168","128","65","10","16","20","6","5","0","1","11","51","28","13","77","34","32","43","42.67"
"45","Evander Kane","VAN","L","69","1138.9166666667","12","18","14","4","30","56.60","164","7.32","18.74","348","258","160","81","5","42","92","31","26","2","3","22","75","17","109","68","28","20","34","37.04"
"54","Dmitry Orlov","S.J","D","71","1517.0333333333","3","27","13","14","30","40.00","73","4.11","4.17","197","123","51","8","1","14","40","20","20","0","0","13","90","22","111","61","67","0","0","-"
"110","Blake Coleman","CGY","L","61","1046.5","17","13","8","5","30","56.60","153","11.11","19.41","263","207","169","90","6","30","43","20","19","1","0","14","53","18","140","49","39","12","19","38.71"
"274","Michael Amadio","OTT","R","73","1169.1666666667","12","18","12","6","30","56.60","87","13.79","13.22","175","141","115","68","6","22","18","9","9","0","0","17","54","32","95","97","45","7","11","38.89"
"409","Justin Brazeau","PIT","R","55","698.91666666667","16","14","8","6","30","75.00","95","16.84","15.36","158","143","121","75","3","17","12","6","6","0","0","10","36","12","76","36","35","0","3","0.00"
"479","Kiefer Sherwood","S.J, VAN","L","61","1065.15","21","9","6","3","30","54.55","149","14.09","18.41","313","246","159","65","12","27","46","19","18","0","1","25","63","22","290","67","29","14","22","38.89"
"561","Bobby Brink","MIN, PHI","R","63","957.31666666667","15","15","10","5","30","68.18","100","15.00","15.87","196","152","125","56","0","22","24","11","11","0","0","13","40","10","73","74","38","14","31","31.11"
"578","Nicholas Robertson","TOR","L","70","883.53333333333","14","16","9","7","30","71.43","113","12.39","12.86","204","165","126","55","6","22","8","4","4","0","0","9","57","21","72","56","36","12","12","50.00"
"649","Jamie Drysdale","PHI","D","70","1512.4666666667","8","22","6","16","30","42.86","92","8.70","6.31","232","150","75","13","1","15","33","11","9","1","1","8","49","15","16","84","83","0","0","-"
"653","Cole Perfetti","WPG","C","59","915.95","11","19","12","7","30","62.50","122","9.02","17.8","257","196","159","77","6","23","18","9","9","0","0","6","50","19","49","51","28","4","5","44.44"
"679","Emil Heineman","NYI","L","74","1242.7666666667","21","9","3","6","30","54.55","166","12.65","19.68","306","243","182","67","5","27","14","7","7","0","0","14","45","8","231","112","49","6","11","35.29"
"1","Brent Burns","COL","D","72","1359.6833333333","10","19","10","9","29","38.67","152","6.58","5.76","358","229","71","10","5","35","28","14","14","0","0","7","90","14","17","37","81","0","0","-"
"18","James van Riemsdyk","DET","L","63","753.26666666667","15","14","7","7","29","65.91","95","15.79","18.95","183","155","141","105","6","28","14","7","7","0","0","8","36","10","12","45","26","3","6","33.33"
"102","Josh Manson","COL","D","72","1276.6166666667","5","24","13","11","29","36.25","110","4.55","6.08","229","157","70","18","6","23","89","37","32","5","0","19","75","25","163","99","93","0","0","-"
"200","Oliver Bjorkstrand","T.B","R","72","989.4","11","18","13","5","29","50.00","119","9.24","16.8","250","190","169","57","2","32","10","5","5","0","0","12","33","13","72","86","32","7","8","46.67"
"284","Victor Olofsson","CGY, COL","L","71","965.2","13","16","7","9","29","63.04","136","9.56","14.5","244","185","149","58","3","19","6","3","3","0","0","6","54","15","17","56","21","3","5","37.50"
"331","Ivan Provorov","CBJ","D","74","1841.7666666667","8","21","12","9","29","31.52","137","5.84","6.9","300","196","78","14","7","23","28","14","14","0","0","5","105","24","27","99","128","0","0","-"
"476","Parker Kelly","COL","C","72","919.6","17","12","4","8","29","80.56","88","19.32","11.13","174","128","101","52","5","9","26","13","13","0","0","17","42","15","167","111","52","63","109","36.63"
"595","Ilya Mikheyev","CHI","R","69","1201.0833333333","15","14","9","5","29","76.32","110","13.64","14.12","194","156","108","63","6","19","18","9","9","0","0","13","54","19","27","55","21","2","7","22.22"
"632","Alexander Nikishin","CAR","D","72","1293.6166666667","10","19","10","9","29","37.66","115","8.70","7.76","287","182","57","13","6","22","29","13","12","1","0","9","80","25","118","145","83","0","0","-"
"669","Gage Goncalves","T.B","C","65","830.3","11","18","6","12","29","52.73","70","15.71","8.61","131","102","82","45","2","12","39","14","12","1","1","14","53","14","76","76","26","7","15","31.82"
"773","Denton Mateychuk","CBJ","D","67","1277.9","12","17","10","7","29","46.03","77","15.58","4.81","185","115","63","15","2","17","6","3","3","0","0","9","71","14","25","144","84","0","0","-"
"7","Kris Letang","PIT","D","67","1470.7833333333","3","25","14","11","28","35.44","102","2.94","5","246","155","68","13","6","12","36","18","18","0","0","8","91","25","92","106","86","0","0","-"
"15","Alex Killorn","ANA","L","73","1208.1166666667","12","16","7","9","28","54.90","133","9.02","14.99","230","191","129","65","1","23","36","14","13","0","1","16","58","20","60","57","29","37","75","33.04"
"139","Jonathan Marchessault","NSH","R","55","915.01666666667","11","17","9","8","28","52.83","119","9.24","17.48","237","176","137","62","6","26","28","10","9","0","1","10","59","15","67","32","8","14","23","37.84"
"164","Esa Lindell","DAL","D","74","1731.3833333333","5","23","8","15","28","36.36","72","6.94","6.88","171","109","54","7","8","10","18","9","9","0","0","6","102","29","28","150","164","0","0","-"
"267","Ryan Donato","CHI","C","74","1087.5333333333","14","14","8","6","28","65.12","105","13.33","14.45","245","187","134","63","8","22","42","17","16","0","1","18","53","23","75","96","18","156","181","46.29"
"343","Ryan Shea","PIT","D","72","1354.9333333333","4","24","15","9","28","37.84","66","6.06","3.4","171","113","48","5","1","8","22","7","6","0","1","12","53","22","37","113","87","0","0","-"
"622","Marco Rossi","MIN, VAN","C","40","704.91666666667","9","19","10","9","28","66.67","53","16.98","7.45","106","85","76","41","5","14","10","5","5","0","0","8","35","15","38","39","25","247","245","50.20"
"625","Jake Neighbours","STL","L","59","901.31666666667","14","14","9","5","28","52.83","72","19.44","11.38","136","107","107","63","3","15","41","19","18","1","0","15","39","12","132","70","33","3","13","18.75"
