"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"346","Kirill Kaprizov","MIN","L","72","1605.2333333333","39","42","26","16","81","66.94","246","15.85","37.66","495","387","270","114","7","59","28","14","14","0","0","17","104","19","47","66","24","0","2","0.00"
"196","Jake Guentzel","T.B","C","73","1464.6666666667","35","45","25","20","80","65.57","193","18.13","34.71","348","282","258","149","6","45","53","17","14","1","2","20","67","22","35","70","37","178","196","47.59"
"557","Cole Caufield","MTL","R","72","1303.25","46","33","20","13","79","68.70","220","20.91","32","397","333","241","95","6","40","14","7","7","0","0","13","52","22","48","47","21","6","12","33.33"
"299","Jack Eichel","VGK","C","66","1410.2333333333","25","53","25","28","78","67.24","234","10.68","23.65","423","327","176","62","5","42","16","7","7","0","0","19","109","24","34","44","40","507","550","47.97"
"368","Alex DeBrincat","DET","R","73","1347.2333333333","37","41","21","20","78","71.56","261","14.18","35.92","519","401","281","100","6","52","17","7","6","1","0","13","77","38","34","57","35","17","29","36.96"
"713","Wyatt Johnston","DAL","C","74","1491.35","40","38","23","15","78","66.10","188","21.28","35.06","369","275","282","140","2","44","28","14","14","0","0","15","53","21","47","80","50","368","402","47.79"
"320","Zach Werenski","CBJ","D","67","1774.6","21","56","25","31","77","64.17","231","9.09","13.75","518","342","191","21","6","41","16","8","8","0","0","11","108","31","28","94","81","0","0","-"
"396","Tage Thompson","BUF","C","74","1426.15","37","39","28","11","76","72.38","249","14.86","31.02","516","382","235","85","9","41","33","13","12","1","0","22","64","27","76","66","44","352","437","44.61"
"564","Matt Boldy","MIN","L","70","1456.3333333333","38","38","19","19","76","69.72","232","16.38","30.76","464","366","238","105","12","35","28","14","14","0","0","23","80","34","57","74","52","53","61","46.49"
"337","Artemi Panarin","L.A, NYR","L","69","1442.95","26","49","27","22","75","72.12","207","12.56","21.93","473","334","214","41","11","36","18","9","9","0","0","16","92","22","11","31","14","1","0","100.00"
"640","Tim Stützle","OTT","C","73","1490.5833333333","32","43","23","20","75","67.57","178","17.98","24.72","334","255","230","93","3","23","35","16","15","1","0","30","89","30","115","95","41","314","278","53.04"
"307","Sebastian Aho","CAR","C","73","1440.9333333333","25","49","31","18","74","64.35","175","14.29","24.98","373","288","226","91","6","40","42","17","16","0","1","19","99","30","62","64","20","547","536","50.51"
"370","Clayton Keller","UTA","R","74","1408.75","22","51","34","17","73","68.22","209","10.53","24.4","390","313","181","69","2","36","30","15","15","0","0","24","94","24","8","72","29","12","21","36.36"
"403","Brandon Hagel","T.B","L","68","1341.5833333333","35","38","26","12","73","68.87","200","17.50","32.94","436","311","255","99","7","44","56","24","22","2","0","33","71","34","42","91","38","25","37","40.32"
"763","Lane Hutson","MTL","D","73","1712.05","11","62","30","32","73","52.90","119","9.24","10.16","277","164","113","28","3","25","32","16","16","0","0","15","84","35","27","143","121","0","0","-"
"453","Cale Makar","COL","D","72","1799.3666666667","20","52","28","24","72","55.38","191","10.47","16.33","527","317","186","21","4","32","24","12","12","0","0","22","80","39","35","39","118","0","0","-"
"484","Quinn Hughes","MIN, VAN","D","68","1889.55","6","66","32","34","72","55.81","176","3.41","11.5","452","272","169","12","1","37","28","14","14","0","0","27","104","29","6","65","77","0","0","-"
"304","Mikko Rantanen","DAL","R","56","1131.3833333333","21","50","31","19","71","76.34","131","16.03","19.37","265","203","177","71","10","27","89","32","27","3","2","31","66","18","40","65","27","34","35","49.28"
"328","Mitch Marner","VGK","R","73","1462.8166666667","20","51","35","16","71","64.55","144","13.89","15.5","327","223","178","59","7","32","22","11","11","0","0","16","100","34","22","56","44","130","189","40.75"
"621","Lucas Raymond","DET","L","71","1340.8833333333","24","47","32","15","71","71.00","153","15.69","17.41","320","236","156","54","2","32","16","8","8","0","0","23","72","29","38","82","26","1","0","100.00"
"125","Mika Zibanejad","NYR","C","73","1528.3833333333","32","37","23","14","69","72.63","202","15.84","24.94","384","313","192","86","5","33","14","7","7","0","0","8","96","31","94","47","46","518","478","52.01"
"825","Connor Bedard","CHI","C","61","1277.9","30","38","28","10","68","81.93","205","14.63","23.34","376","306","199","59","7","22","42","21","21","0","0","24","81","23","30","76","22","253","301","45.67"
"159","Filip Forsberg","NSH","L","74","1395.2","34","33","22","11","67","73.63","228","14.91","25.76","487","352","209","79","6","41","32","16","16","0","0","21","94","48","118","48","29","10","19","34.48"
"248","William Nylander","TOR","R","57","1090.7666666667","25","42","31","11","67","77.01","128","19.53","17.32","251","195","121","60","9","22","14","7","7","0","0","10","61","29","9","28","23","26","45","36.62"
"499","Rasmus Dahlin","BUF","D","70","1705.7","17","50","23","27","67","56.30","181","9.39","13.52","401","260","140","33","3","33","74","30","27","2","1","25","106","28","64","114","76","0","0","-"
"41","Ryan O'Reilly","NSH","C","73","1479.2833333333","24","42","28","14","66","68.04","139","17.27","23.72","231","207","177","122","4","19","20","10","10","0","0","10","46","46","13","49","56","684","549","55.47"
