game_id,date,season,home_team,home_score,away_team,away_score
2021020002,2021-10-12,20212022,VGK,4,SEA,3
2021020001,2021-10-12,20212022,TBL,2,PIT,6
2021020005,2021-10-13,20212022,COL,4,CHI,2
2021020015,2021-10-13,20212022,ANA,4,WPG,1
2021020006,2021-10-13,20212022,EDM,3,VAN,2
2021020004,2021-10-13,20212022,WSH,5,NYR,1
2021020003,2021-10-13,20212022,TOR,2,MTL,1
2021020010,2021-10-14,20212022,FLA,5,PIT,4
2021020012,2021-10-14,20212022,CAR,6,NYI,3
2021020008,2021-10-14,20212022,OTT,3,TOR,2
2021020007,2021-10-14,20212022,BUF,5,MTL,1
2021020016,2021-10-14,20212022,LAK,6,VGK,2
2021020014,2021-10-14,20212022,NSH,3,SEA,4
2021020013,2021-10-14,20212022,CBJ,8,ARI,2
2021020011,2021-10-14,20212022,NYR,2,DAL,3
2021020009,2021-10-14,20212022,DET,6,TBL,7
2021020019,2021-10-15,20212022,ANA,1,MIN,2
2021020017,2021-10-15,20212022,NJD,4,CHI,3
2021020018,2021-10-15,20212022,PHI,4,VAN,5
2021020032,2021-10-16,20212022,LAK,2,MIN,3
2021020021,2021-10-16,20212022,BUF,2,ARI,1
2021020025,2021-10-16,20212022,FLA,5,NYI,1
2021020031,2021-10-16,20212022,EDM,5,CGY,2
2021020033,2021-10-16,20212022,SJS,4,WPG,3
2021020029,2021-10-16,20212022,NSH,2,CAR,3
2021020030,2021-10-16,20212022,COL,3,STL,5
2021020027,2021-10-16,20212022,WSH,1,TBL,2
2021020024,2021-10-16,20212022,DET,3,VAN,1
2021020023,2021-10-16,20212022,MTL,1,NYR,3
2021020020,2021-10-16,20212022,BOS,3,DAL,1
2021020026,2021-10-16,20212022,PIT,5,CHI,2
2021020022,2021-10-16,20212022,TOR,3,OTT,1
2021020028,2021-10-16,20212022,CBJ,2,SEA,1
2021020034,2021-10-17,20212022,OTT,3,DAL,2
2021020037,2021-10-18,20212022,CGY,2,ANA,3
2021020038,2021-10-18,20212022,ARI,4,STL,7
2021020035,2021-10-18,20212022,TOR,1,NYR,2
2021020036,2021-10-18,20212022,PHI,6,SEA,1
2021020048,2021-10-19,20212022,MIN,6,WPG,5
2021020042,2021-10-19,20212022,TBL,1,FLA,4
2021020040,2021-10-19,20212022,MTL,0,SJS,5
2021020043,2021-10-19,20212022,NJD,4,SEA,2
2021020044,2021-10-19,20212022,PIT,1,DAL,2
2021020041,2021-10-19,20212022,DET,4,CBJ,1
2021020039,2021-10-19,20212022,BUF,5,VAN,2
2021020049,2021-10-19,20212022,EDM,6,ANA,5
2021020046,2021-10-19,20212022,CHI,1,NYI,4
2021020045,2021-10-19,20212022,WSH,6,COL,3
2021020047,2021-10-19,20212022,NSH,2,LAK,1
2021020051,2021-10-20,20212022,VGK,1,STL,3
2021020050,2021-10-20,20212022,PHI,6,BOS,3
2021020057,2021-10-21,20212022,CBJ,3,NYI,2
2021020059,2021-10-21,20212022,NSH,1,NYR,3
2021020056,2021-10-21,20212022,NJD,1,WSH,4
2021020061,2021-10-21,20212022,ARI,1,EDM,5
2021020054,2021-10-21,20212022,DET,0,CGY,3
2021020058,2021-10-21,20212022,CHI,1,VAN,4
2021020060,2021-10-21,20212022,WPG,5,ANA,1
2021020052,2021-10-21,20212022,MTL,1,CAR,4
2021020053,2021-10-21,20212022,OTT,1,SJS,2
2021020055,2021-10-21,20212022,FLA,4,COL,1
2021020063,2021-10-22,20212022,TOR,3,SJS,5
2021020062,2021-10-22,20212022,BUF,1,BOS,4
2021020064,2021-10-22,20212022,DAL,3,LAK,2
2021020065,2021-10-22,20212022,VGK,3,EDM,5
2021020067,2021-10-23,20212022,OTT,2,NYR,3
2021020066,2021-10-23,20212022,MTL,6,DET,1
2021020078,2021-10-23,20212022,SEA,2,VAN,4
2021020070,2021-10-23,20212022,PHI,2,FLA,4
2021020072,2021-10-23,20212022,WSH,3,CGY,4
2021020074,2021-10-23,20212022,STL,7,LAK,3
2021020077,2021-10-23,20212022,ARI,0,NYI,3
2021020068,2021-10-23,20212022,TBL,3,COL,4
2021020075,2021-10-23,20212022,MIN,4,ANA,3
2021020073,2021-10-23,20212022,CBJ,1,CAR,5
2021020071,2021-10-23,20212022,PIT,7,TOR,1
2021020076,2021-10-23,20212022,WPG,6,NSH,4
2021020069,2021-10-23,20212022,NJD,2,BUF,1
2021020080,2021-10-24,20212022,CHI,3,DET,6
2021020079,2021-10-24,20212022,BOS,4,SJS,3
2021020081,2021-10-24,20212022,MIN,2,NSH,5
2021020082,2021-10-24,20212022,VGK,0,NYI,2
2021020088,2021-10-25,20212022,CBJ,4,DAL,1
2021020085,2021-10-25,20212022,FLA,5,ARI,3
2021020089,2021-10-25,20212022,STL,3,LAK,0
2021020087,2021-10-25,20212022,CAR,4,TOR,1
2021020083,2021-10-25,20212022,BUF,5,TBL,1
2021020086,2021-10-25,20212022,NYR,1,CGY,5
2021020084,2021-10-25,20212022,OTT,5,WSH,7
2021020094,2021-10-26,20212022,VAN,2,MIN,3
2021020095,2021-10-26,20212022,ANA,3,WPG,4
2021020096,2021-10-26,20212022,SEA,5,MTL,1
2021020092,2021-10-26,20212022,NSH,3,SJS,1
2021020090,2021-10-26,20212022,NJD,3,CGY,5
2021020091,2021-10-26,20212022,PIT,1,TBL,5
2021020093,2021-10-26,20212022,COL,1,VGK,3
