faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout,season
0.492474,82,240,2.92682,268,3.26829,33,6,0.813765,0.781377,0.56097,92,0.186956,0.2,43,20252026,26.14634,27.70731,Utah Mammoth,68,3,,43,33,0,2025-2026
0.479983,82,288,3.51219,265,3.2317,33,6,0.794573,0.763566,0.56097,92,0.162878,0.185606,35,20252026,28.36585,30.80487,Anaheim Ducks,24,0,,43,26,8,2025-2026
0.510032,82,254,3.09756,239,2.91463,31,10,0.785714,0.771429,0.56097,92,0.205645,0.225806,39,20252026,27.7439,28.2439,Detroit Red Wings,17,5,,41,30,2,2025-2026
0.50568,82,251,3.06097,246,3.0,30,12,0.782805,0.760181,0.56097,92,0.164179,0.189054,33,20252026,28.84146,29.39024,Columbus Blue Jackets,29,3,,40,28,7,2025-2026
0.526467,82,236,2.87804,229,2.79268,34,5,0.850467,0.808412,0.55487,91,0.128099,0.165289,39,20252026,27.69512,28.17073,New York Islanders,2,9,,43,29,4,2025-2026
0.497544,82,238,2.90243,220,2.68292,27,20,0.775,0.745834,0.54878,90,0.138392,0.169642,30,20252026,27.17073,28.01219,Los Angeles Kings,26,6,,35,22,5,2025-2026
0.505188,82,253,3.08536,226,2.75609,37,3,0.826923,0.79327,0.53048,87,0.2,0.219512,38,20252026,27.36585,29.58536,New Jersey Devils,1,2,,42,29,4,2025-2026
0.47811,82,290,3.53658,249,3.03658,35,8,0.776422,0.764228,0.52439,86,0.180392,0.211764,37,20252026,29.64634,25.75609,San Jose Sharks,28,0,,39,27,2,2025-2026
0.504733,82,267,3.25609,242,2.95121,34,10,0.849593,0.817074,0.52439,86,0.222689,0.231092,33,20252026,29.62195,27.86585,Nashville Predators,18,1,,38,28,5,2025-2026
0.493662,82,254,3.09756,230,2.80487,33,12,0.793721,0.766817,0.52439,86,0.157407,0.175925,36,20252026,27.70731,25.32926,St. Louis Blues,19,7,,37,33,1,2025-2026
0.467549,82,274,3.34146,246,3.0,38,4,0.831501,0.809524,0.51219,84,0.169172,0.195488,35,20252026,26.79268,27.9878,Florida Panthers,13,4,,40,32,5,2025-2026
0.511055,82,256,3.12195,229,2.79268,35,12,0.802631,0.776316,0.5,82,0.162995,0.185022,33,20252026,27.76829,26.36585,Winnipeg Jets,52,0,,35,28,2,2025-2026
0.477162,82,257,3.13414,224,2.7317,37,11,0.731481,0.722223,0.4817,79,0.163636,0.195454,32,20252026,29.45121,25.58536,Seattle Kraken,55,2,,34,26,2,2025-2026
0.541766,82,295,3.59756,252,3.07317,36,14,0.838427,0.812228,0.4756,78,0.177664,0.213197,31,20252026,32.43902,26.32926,Toronto Maple Leafs,10,3,,32,23,1,2025-2026
0.493174,82,256,3.12195,208,2.53658,39,9,0.848979,0.804082,0.46951,77,0.144104,0.161572,30,20252026,29.91463,28.10975,Calgary Flames,20,2,,34,27,4,2025-2026
0.545151,82,249,3.03658,235,2.86585,39,9,0.823293,0.799197,0.46951,77,0.204651,0.246511,31,20252026,28.82926,25.19512,New York Rangers,3,3,,34,25,3,2025-2026
0.460129,82,270,3.29268,210,2.56097,39,14,0.861344,0.836135,0.43902,72,0.156779,0.169491,26,20252026,29.96341,24.58536,Chicago Blackhawks,16,5,,29,22,3,2025-2026
0.493092,82,314,3.82926,210,2.56097,49,8,0.754385,0.714913,0.35365,58,0.192307,0.217948,19,20252026,29.81707,25.96341,Vancouver Canucks,23,2,,25,15,6,2025-2026
