"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"22","Philadelphia Flyers","82","4972.9833","31","38","13","29","75","0.457","4463","5076","46.79","3349","3665","47.75","2416","2586","48.30","220","276","44.35","224.23","262.3","46.09","2130","2584","45.18","933","1090","46.12","122","131","48.22","19.33","81.96","9.11","89.33","0.984"
"23","Pittsburgh Penguins","82","4966.2167","40","31","11","39","91","0.555","5206","4858","51.73","3892","3636","51.70","2818","2687","51.19","261","263","49.81","297.79","262.64","53.14","2735","2450","52.75","1253","1066","54.03","156","144","52.00","17.77","81.47","9.26","90.21","0.995"
"24","San Jose Sharks","82","4984.7333","22","44","16","21","60","0.366","4607","5012","47.89","3384","3704","47.74","2418","2640","47.81","233","315","42.52","255.86","275.97","48.11","2496","2644","48.56","1070","1059","50.26","117","151","43.66","16.01","79.62","9.64","88.07","0.977"
"25","Seattle Kraken","82","4965.65","46","28","8","46","100","0.610","4747","4353","52.16","3559","3226","52.45","2498","2217","52.98","289","252","53.42","246.33","228.59","51.87","2263","2184","50.89","897","942","48.78","130","139","48.33","20.87","77.80","11.57","88.63","1.002"
"26","St Louis Blues","82","4969.4667","37","38","7","34","81","0.494","4196","4894","46.16","3200","3721","46.24","2341","2653","46.88","260","298","46.59","220.43","278.1","44.22","2258","2602","46.46","843","1074","43.97","118","166","41.55","19.03","78.30","11.11","88.77","0.999"
"27","Tampa Bay Lightning","82","4966.0667","46","30","6","43","98","0.598","4914","4656","51.35","3700","3508","51.33","2621","2582","50.37","280","252","52.63","273.99","259.93","51.32","2650","2471","51.75","1107","1020","52.05","149","126","54.18","19.30","83.18","10.68","90.24","1.009"
"28","Toronto Maple Leafs","82","4964.8833","50","21","11","49","111","0.677","4767","4615","50.81","3639","3401","51.69","2629","2420","52.07","278","220","55.82","281.64","239.22","54.07","2763","2344","54.10","1225","991","55.28","158","99","61.48","17.87","85.42","10.57","90.91","1.015"
"29","Vancouver Canucks","82","4991.7833","38","37","7","32","83","0.506","4514","4656","49.23","3387","3517","49.06","2438","2527","49.10","270","296","47.70","245.67","258.32","48.75","2390","2440","49.48","1020","1045","49.39","152","155","49.51","20.62","79.19","11.07","88.29","0.994"
"30","Vegas Golden Knights","82","4997.5","51","22","9","46","111","0.677","4786","5056","48.63","3524","3563","49.72","2587","2534","50.52","267","225","54.27","257.25","239.22","51.82","2433","2462","49.70","1069","915","53.88","145","108","57.31","18.76","83.28","10.32","91.12","1.014"
"31","Winnipeg Jets","82","4951.6167","46","33","3","45","95","0.579","4837","4557","51.49","3626","3444","51.29","2486","2487","49.99","246","224","52.34","267.42","251.25","51.56","2502","2301","52.09","1084","998","52.07","129","119","52.02","18.07","82.29","9.90","90.99","1.009"
"32","Washington Capitals","82","4977.2833","35","37","10","33","80","0.488","4861","4886","49.87","3579","3612","49.77","2549","2549","50.00","253","261","49.22","253.93","268.9","48.57","2428","2420","50.08","1014","1030","49.61","134","143","48.38","18.64","79.80","9.93","89.76","0.997"
