"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4985.6333","23","47","12","20","58","0.354","4234","5565","43.21","3184","4364","42.18","2326","3208","42.03","206","335","38.08","218.47","322.95","40.35","2097","2995","41.18","878","1357","39.28","102","175","36.82","16.37","82.57","8.86","89.56","0.984"
"2","Arizona Coyotes","82","4991.8167","28","40","14","25","70","0.427","3954","5229","43.06","2963","4003","42.54","2121","2875","42.45","225","295","43.27","205.79","294.71","41.12","2056","2819","42.17","823","1161","41.48","109","154","41.44","18.92","81.10","10.61","89.74","1.003"
"3","Boston Bruins","82","4982.75","65","12","5","61","135","0.823","4833","4567","51.41","3653","3421","51.64","2704","2447","52.49","301","174","63.37","270.46","228.78","54.17","2674","2354","53.18","1098","941","53.85","142","94","60.17","17.66","86.03","11.13","92.89","1.040"
"4","Buffalo Sabres","82","4976.8833","42","33","7","39","91","0.555","4777","4587","51.01","3630","3660","49.79","2666","2711","49.58","293","297","49.66","268.91","272.77","49.64","2551","2526","50.25","1018","1125","47.50","139","153","47.60","19.17","81.41","10.99","89.04","1.000"
"5","Carolina Hurricanes","82","4990.5333","52","21","9","48","113","0.689","5606","3757","59.87","4225","2923","59.11","2852","2133","57.21","262","210","55.51","296.28","218.59","57.54","2771","1920","59.07","1237","942","56.77","137","111","55.24","16.47","83.43","9.19","90.15","0.993"
"6","Columbus Blue Jackets","82","4967","25","48","9","24","59","0.360","4544","5422","45.60","3376","4079","45.29","2400","2906","45.23","213","329","39.30","233.14","287.46","44.78","2242","2758","44.84","901","1134","44.28","97","164","37.16","15.70","79.55","8.88","88.68","0.976"
"7","Calgary Flames","82","4998.6333","38","27","17","36","93","0.567","5527","4193","56.86","4115","3169","56.49","2949","2243","56.80","258","247","51.09","284.62","231.09","55.19","2736","2275","54.60","1081","932","53.70","135","119","53.15","17.46","81.72","8.75","88.99","0.977"
"8","Chicago Blackhawks","82","4967.4167","26","49","7","24","59","0.360","4075","5068","44.57","3063","3785","44.73","2210","2758","44.48","202","299","40.32","207.16","274.26","43.03","1948","2679","42.10","796","1101","41.96","112","153","42.26","20.00","80.75","9.14","89.16","0.983"
"9","Colorado Avalanche","82","4996.7667","51","24","7","45","109","0.665","5004","4525","52.51","3674","3411","51.86","2729","2540","51.79","274","223","55.13","255.04","238.37","51.69","2525","2196","53.48","998","1016","49.55","139","122","53.26","18.91","83.26","10.04","91.22","1.013"
"10","Dallas Stars","82","4993.05","47","21","14","43","108","0.659","4986","4599","52.02","3635","3448","51.32","2618","2454","51.62","281","215","56.65","272.97","231.7","54.09","2618","2245","53.84","1119","937","54.43","158","113","58.30","19.95","83.01","10.73","91.24","1.020"
"11","Detroit Red Wings","82","4983.25","35","37","10","32","80","0.488","4289","4812","47.13","3203","3530","47.57","2312","2496","48.09","237","275","46.29","226.45","243.19","48.22","2096","2457","46.04","841","1021","45.17","115","134","46.18","18.40","80.66","10.25","88.98","0.992"
"12","Edmonton Oilers","82","4963.65","50","23","9","50","109","0.665","4900","4511","52.07","3708","3474","51.63","2755","2573","51.71","325","256","55.94","295.87","247.41","54.46","2721","2342","53.74","1217","940","56.42","167","133","55.67","18.93","80.61","11.80","90.05","1.018"
"13","Florida Panthers","82","4960.15","42","32","8","40","92","0.561","5481","4637","54.17","4127","3573","53.60","3021","2604","53.71","288","272","51.43","310.93","269.86","53.54","2875","2368","54.84","1301","1081","54.62","164","130","55.78","17.94","83.23","9.53","89.55","0.991"
"14","Los Angeles Kings","82","4989.3333","47","25","10","41","104","0.634","4870","4579","51.54","3669","3271","52.87","2659","2289","53.74","274","254","51.89","250.08","230.77","52.01","2461","2364","51.01","992","912","52.10","127","129","49.61","17.64","79.33","10.30","88.90","0.992"
"15","Minnesota Wild","82","5018.4667","46","25","11","39","103","0.628","4794","4819","49.87","3607","3501","50.75","2535","2552","49.83","239","219","52.18","256.52","237.36","51.94","2345","2295","50.54","1004","918","52.24","138","113","54.98","19.27","83.13","9.43","91.42","1.008"
"16","Montreal Canadiens","82","4973.6167","31","45","6","26","68","0.415","4213","5207","44.72","3063","3797","44.65","2237","2753","44.83","227","305","42.67","215.11","299.69","41.79","2063","2763","42.75","846","1202","41.31","106","185","36.43","18.24","78.13","10.15","88.92","0.991"
"17","New Jersey Devils","82","4987.8333","52","22","8","50","112","0.683","5274","4552","53.67","3898","3332","53.91","2822","2315","54.93","289","222","56.56","295.07","232.77","55.90","2733","2233","55.03","1134","887","56.11","149","118","55.81","18.15","80.07","10.24","90.41","1.007"
"18","Nashville Predators","82","4990.35","42","32","8","36","92","0.561","4671","5159","47.52","3448","3837","47.33","2419","2729","46.99","223","236","48.58","248.86","283.91","46.71","2428","2770","46.71","996","1085","47.86","117","118","49.79","17.23","84.55","9.22","91.35","1.006"
"19","New York Islanders","82","4973.25","42","31","9","41","93","0.567","4863","4941","49.60","3540","3618","49.46","2525","2545","49.80","242","217","52.72","250.44","266.02","48.49","2519","2505","50.14","1063","1104","49.05","117","117","50.00","16.01","84.98","9.58","91.47","1.011"
"20","New York Rangers","82","4989.9667","47","22","13","43","107","0.652","4812","4552","51.39","3632","3347","52.04","2583","2405","51.78","273","216","55.83","266.13","242.77","52.29","2557","2403","51.55","1084","1034","51.18","141","115","55.08","19.34","84.20","10.57","91.02","1.016"
"21","Ottawa Senators","82","4965.2667","39","35","8","37","86","0.524","5097","4802","51.49","3836","3548","51.95","2746","2572","51.64","259","270","48.96","287.69","261.67","52.37","2664","2559","51.01","1147","1029","52.71","145","135","51.79","18.13","80.71","9.43","89.50","0.989"
