"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"12","Edmonton Oilers","82","4979.2167","49","27","6","44","104","0.634","4961","4571","52.05","3764","3553","51.44","2791","2647","51.32","285","251","53.17","273.64","241.95","53.07","2476","2397","50.81","1075","950","53.09","159","126","55.79","19.83","82.08","10.21","90.52","1.007"
"13","Florida Panthers","82","4984.2167","58","18","6","55","122","0.744","5374","4300","55.55","4051","3305","55.07","3062","2515","54.90","337","242","58.20","298.19","239.02","55.51","2893","2261","56.13","1190","1006","54.19","187","135","58.07","20.22","82.35","11.01","90.38","1.014"
"14","Los Angeles Kings","82","4992.2167","44","27","11","40","99","0.604","5087","4334","54.00","3930","3243","54.79","2866","2343","55.02","235","232","50.32","267.2","235.65","53.14","2556","2304","52.59","1047","983","51.58","130","128","50.39","17.33","82.30","8.20","90.10","0.983"
"15","Minnesota Wild","82","4996.4","53","22","7","48","113","0.689","4730","4632","50.52","3588","3517","50.50","2669","2577","50.88","305","249","55.05","234.75","226.81","50.86","2359","2108","52.81","904","810","52.74","146","125","53.87","21.04","79.27","11.43","90.34","1.018"
"16","Montreal Canadiens","82","4972.2167","22","49","11","19","55","0.335","4339","4989","46.52","3232","3805","45.93","2443","2824","46.38","218","317","40.75","218.4","272.71","44.47","2147","2651","44.75","892","1100","44.78","102","175","36.82","15.94","78.50","8.92","88.77","0.977"
"17","New Jersey Devils","82","4978.5333","27","46","9","24","63","0.384","4718","4541","50.96","3576","3520","50.39","2562","2540","50.22","245","302","44.79","232.78","236.18","49.64","2458","2307","51.58","946","839","53.00","138","150","47.92","20.06","76.08","9.56","88.11","0.977"
"18","Nashville Predators","82","4977.35","45","30","7","41","97","0.591","4503","4779","48.51","3457","3619","48.86","2440","2647","47.97","262","250","51.17","230.35","242.86","48.68","2251","2392","48.48","844","850","49.82","145","118","55.13","23.05","81.87","10.74","90.56","1.013"
"19","New York Islanders","82","4970.2167","37","35","10","35","84","0.512","4245","4872","46.56","3211","3637","46.89","2368","2670","47.00","229","231","49.78","224.76","243.98","47.95","2264","2595","46.59","928","985","48.51","121","120","50.21","17.21","83.89","9.67","91.35","1.010"
"20","New York Rangers","82","4970.75","52","24","6","48","110","0.671","4273","4677","47.74","3287","3510","48.36","2392","2528","48.62","250","204","55.07","233.76","232.68","50.12","2178","2435","47.21","965","988","49.41","145","112","56.42","20.39","84.47","10.45","91.93","1.024"
"21","Ottawa Senators","82","4967.0333","33","42","7","30","73","0.445","4498","4920","47.76","3411","3722","47.82","2465","2740","47.36","224","264","45.90","233.92","261.47","47.22","2295","2515","47.71","965","1000","49.11","120","137","46.69","17.39","81.64","9.09","90.36","0.995"
"22","Philadelphia Flyers","82","4968.7333","25","46","11","24","61","0.372","4499","5009","47.32","3403","3775","47.41","2540","2786","47.69","210","294","41.67","224","265.92","45.72","2084","2509","45.37","895","1007","47.06","119","143","45.42","17.76","81.03","8.27","89.45","0.977"
"23","Pittsburgh Penguins","82","4992.6333","46","25","11","43","103","0.628","4902","4522","52.02","3810","3428","52.64","2850","2577","52.52","269","222","54.79","263.99","228.66","53.59","2569","2214","53.71","1054","874","54.67","151","129","53.93","17.95","81.14","9.44","91.39","1.008"
"24","San Jose Sharks","82","4975.65","32","37","13","29","77","0.470","4345","5062","46.19","3304","3693","47.22","2400","2622","47.79","211","261","44.70","214.33","252.33","45.93","2200","2507","46.74","896","982","47.71","103","134","43.46","15.99","80.47","8.79","90.05","0.988"
"25","Seattle Kraken","82","4949.8167","27","49","6","24","60","0.366","4428","4325","50.59","3317","3294","50.17","2381","2368","50.14","213","284","42.86","208.93","232.08","47.37","2120","2145","49.71","845","859","49.59","104","151","40.78","16.56","76.03","8.95","88.01","0.970"
"26","St Louis Blues","82","4964.1667","49","22","11","47","109","0.665","4278","4621","48.07","3323","3619","47.87","2492","2590","49.04","309","239","56.39","241.05","250.95","48.99","2437","2483","49.53","871","957","47.65","142","112","55.91","21.26","83.72","12.40","90.77","1.032"
"27","Tampa Bay Lightning","81","4928.05","50","23","8","48","108","0.667","4559","4398","50.90","3562","3355","51.50","2535","2433","51.03","285","227","55.66","252.58","229.04","52.44","2523","2363","51.64","1060","900","54.08","155","129","54.58","20.39","80.69","11.24","90.67","1.019"
"28","Toronto Maple Leafs","81","4908.5","54","20","7","51","115","0.710","5091","4353","53.91","3904","3381","53.59","2835","2512","53.02","312","252","55.32","276.79","217.71","55.97","2861","2203","56.50","1141","879","56.49","164","135","54.85","19.81","79.17","11.01","89.97","1.010"
"29","Vancouver Canucks","82","4983.7167","40","30","12","37","92","0.561","4782","4727","50.29","3577","3551","50.18","2623","2612","50.11","246","231","51.57","242.04","243.97","49.80","2420","2463","49.56","882","972","47.57","122","122","50.00","19.03","83.26","9.38","91.16","1.005"
"30","Vegas Golden Knights","82","4979.75","43","31","8","39","94","0.573","5064","4667","52.04","3823","3357","53.25","2830","2459","53.51","262","244","51.78","266.33","242.94","52.30","2517","2429","50.89","1073","1004","51.66","143","137","51.07","18.06","81.18","9.26","90.08","0.993"
"31","Winnipeg Jets","82","4976.9667","39","32","11","37","89","0.543","4726","4796","49.63","3638","3707","49.53","2645","2721","49.29","250","253","49.70","262.54","264","49.86","2530","2527","50.03","1033","1091","48.63","130","145","47.27","17.24","81.43","9.45","90.70","1.002"
"32","Washington Capitals","82","4991.7833","44","26","12","39","100","0.610","4668","4500","50.92","3588","3350","51.72","2578","2380","52.00","270","242","52.73","243.55","223.45","52.15","2305","2242","50.69","901","907","49.83","124","139","47.15","19.56","78.32","10.47","89.83","1.003"
