"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","5001.9833","31","37","14","27","76","0.463","4399","4893","47.34","3326","3771","46.86","2395","2722","46.80","228","266","46.15","217.19","256.93","45.81","2164","2463","46.77","872","1003","46.51","127","132","49.03","18.98","81.99","9.52","90.23","0.997"
"2","Arizona Coyotes","82","4969.4333","25","50","7","24","57","0.348","3905","5121","43.26","2969","3972","42.77","2121","2903","42.22","206","308","40.08","199.6","268.09","42.68","1926","2591","42.64","819","1101","42.66","108","151","41.70","18.34","81.24","9.71","89.39","0.991"
"3","Boston Bruins","82","4959.6167","51","26","5","49","107","0.652","4897","4272","53.41","3896","3255","54.48","2963","2356","55.71","253","218","53.72","250.65","206.76","54.80","2434","2044","54.35","937","781","54.54","130","116","52.85","17.74","80.00","8.54","90.75","0.993"
"4","Buffalo Sabres","82","4974.3167","32","39","11","29","75","0.457","4238","4534","48.31","3280","3637","47.42","2453","2703","47.58","229","287","44.38","204.91","245.28","45.52","2025","2291","46.92","809","1017","44.30","104","149","41.11","17.28","80.57","9.34","89.38","0.987"
"5","Carolina Hurricanes","82","4969.3667","54","20","8","53","116","0.707","5117","4059","55.77","3974","3201","55.39","2798","2310","54.78","277","200","58.07","284.06","228.27","55.44","2519","2079","54.78","1128","928","54.86","158","124","56.03","20.39","81.84","9.90","91.34","1.012"
"6","Columbus Blue Jackets","82","4971.9167","37","38","7","33","81","0.494","4554","4915","48.09","3441","3842","47.25","2464","2889","46.03","258","297","46.49","224.52","264.31","45.93","2179","2544","46.14","807","1054","43.36","125","153","44.96","20.70","81.18","10.47","89.72","1.002"
"7","Calgary Flames","82","4966.2167","50","21","11","48","111","0.677","5228","4233","55.26","4022","3277","55.10","2909","2375","55.05","291","206","58.55","273.17","213.12","56.17","2625","2075","55.85","1019","793","56.24","142","100","58.68","18.59","83.08","10.00","91.33","1.013"
"8","Chicago Blackhawks","82","4996.3","28","42","12","22","68","0.415","4267","4921","46.44","3132","3621","46.38","2362","2703","46.63","213","289","42.43","205.28","242.12","45.88","2093","2420","46.38","774","871","47.05","111","138","44.58","18.69","79.12","9.02","89.31","0.983"
"9","Colorado Avalanche","82","4967.6167","56","19","7","52","119","0.726","5159","4593","52.90","3820","3509","52.12","2874","2627","52.25","308","232","57.04","259.97","233.75","52.66","2580","2196","54.02","962","998","49.08","141","126","52.81","19.75","82.76","10.72","91.17","1.019"
"10","Dallas Stars","82","4990.7333","46","30","6","41","98","0.598","4633","4695","49.67","3483","3525","49.70","2486","2546","49.40","233","244","48.85","248.6","225.85","52.40","2438","2229","52.24","1061","884","54.55","150","109","57.92","19.92","83.23","9.37","90.42","0.998"
"11","Detroit Red Wings","82","4982.0833","32","40","10","29","74","0.451","4200","4809","46.62","3194","3718","46.21","2415","2762","46.65","227","310","42.27","224.27","265.39","45.80","2130","2557","45.44","875","1090","44.53","109","154","41.44","16.37","80.75","9.40","88.78","0.982"
