"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"11","New York Rangers","82","4949.7833","39","36","7","38","85","0.518","4939","4993","49.73","3605","3657","49.64","2344","2451","48.88","255","255","50.00","256.16","270.92","48.60","2323","2431","48.86","943","1060","47.08","115","133","46.37","18.37","80.97","10.88","89.60","1.005"
"12","Pittsburgh Penguins","82","4982.55","34","36","12","33","80","0.488","4965","4984","49.90","3557","3655","49.32","2326","2472","48.48","242","287","45.75","262.47","259.1","50.32","2352","2403","49.46","1033","970","51.57","124","125","49.80","18.99","80.41","10.40","88.39","0.988"
"13","Winnipeg Jets","82","4959.9167","56","22","4","54","116","0.707","4790","4840","49.74","3540","3462","50.56","2316","2229","50.96","275","190","59.14","249.87","232.91","51.76","2181","2091","51.05","989","867","53.29","140","82","63.06","22.51","84.20","11.87","91.48","1.033"
"14","Edmonton Oilers","82","4958.7333","48","29","5","48","101","0.616","5183","4487","53.60","3783","3227","53.97","2623","2211","54.26","259","235","52.43","274.73","231.06","54.32","2481","2153","53.54","1045","801","56.61","130","105","55.32","19.09","78.92","9.87","89.37","0.992"
"15","Calgary Flames","82","5001.9833","41","27","14","36","96","0.585","5204","4952","51.24","3620","3511","50.76","2414","2372","50.44","220","236","48.25","237.22","246.38","49.05","2319","2356","49.60","879","941","48.30","98","117","45.58","17.75","80.53","9.11","90.05","0.992"
"16","Vancouver Canucks","82","5000.35","38","30","14","35","90","0.549","4595","4725","49.30","3270","3419","48.89","2096","2198","48.81","233","251","48.14","227.02","235.15","49.12","2103","2144","49.52","855","914","48.33","118","117","50.21","21.53","79.18","11.12","88.58","0.997"
"17","Colorado Avalanche","82","4968.1333","49","29","4","45","102","0.622","5242","4506","53.78","3701","3187","53.73","2451","2126","53.55","273","231","54.17","258.16","237.73","52.06","2510","2065","54.86","940","890","51.37","106","118","47.32","17.85","79.30","11.14","89.13","1.003"
"18","Vegas Golden Knights","82","4967.7667","50","22","10","49","110","0.671","4963","4789","50.89","3639","3394","51.74","2482","2141","53.69","274","214","56.15","256.06","224.79","53.25","2387","2174","52.34","989","870","53.20","129","101","56.09","20.87","80.12","11.04","90.00","1.010"
"19","Los Angeles Kings","82","4963.35","48","25","9","47","105","0.640","5055","4503","52.89","3627","3201","53.12","2304","2093","52.40","249","203","55.09","249.61","214.71","53.76","2276","2072","52.35","974","840","53.69","113","96","54.07","19.76","82.35","10.81","90.30","1.011"
"20","Ottawa Senators","82","4955.5833","45","30","7","44","97","0.591","4940","4820","50.61","3546","3429","50.84","2403","2347","50.59","242","232","51.05","246.3","240.83","50.56","2318","2228","50.99","911","903","50.22","108","111","49.32","18.18","81.41","10.07","90.12","1.002"
