"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"17","Nashville Predators","74","4498.9167","34","31","9","30","77","0.520","4340","4215","50.73","3147","3243","49.25","2059","2185","48.52","216","245","46.85","239.16","245.26","49.37","2085","2086","49.99","916","923","49.81","106","130","44.92","18.43","79.10","10.49","88.79","0.993"
"18","New York Islanders","74","4508.1","42","27","5","38","89","0.601","4330","4409","49.55","3200","3204","49.97","2094","2068","50.31","212","204","50.96","239.34","266.51","47.31","2128","2244","48.67","875","1035","45.81","93","90","50.82","16.43","86.32","10.12","90.14","1.003"
"19","New York Rangers","74","4495.1833","30","35","9","27","69","0.466","4191","4459","48.45","2992","3278","47.72","1872","2164","46.38","208","231","47.38","222.76","249.72","47.15","2038","2154","48.62","875","874","50.03","95","112","45.89","18.55","80.35","11.11","89.33","1.004"
"20","Ottawa Senators","73","4423.65","38","25","10","35","86","0.589","4367","3795","53.50","3221","2715","54.26","2115","1772","54.41","241","223","51.94","244.95","207.47","54.14","2229","1791","55.45","952","759","55.64","120","108","52.63","19.45","77.69","11.39","87.42","0.988"
"21","Philadelphia Flyers","73","4479.9","37","24","12","28","86","0.589","3886","4170","48.24","2867","2992","48.93","1861","1877","49.79","207","215","49.05","228.89","217.61","51.26","2003","2035","49.60","895","786","53.24","84","86","49.41","15.53","81.18","11.12","88.55","0.997"
"22","Pittsburgh Penguins","73","4463.5333","36","21","16","33","88","0.603","4374","4367","50.04","3231","3172","50.46","2111","2000","51.35","247","224","52.44","253.84","238.49","51.56","2274","2202","50.80","998","922","51.98","112","98","53.33","17.61","82.28","11.70","88.80","1.005"
"23","San Jose Sharks","71","4313.75","33","31","7","31","73","0.514","3810","4320","46.86","2725","3159","46.31","1849","2117","46.62","213","252","45.81","212.2","244.39","46.48","1991","2117","48.47","863","948","47.65","117","114","50.65","20.21","81.28","11.52","88.10","0.996"
"24","Seattle Kraken","72","4385.9833","32","29","11","31","75","0.521","3818","4596","45.38","2824","3315","46.00","1834","2113","46.47","205","218","48.46","208.25","243.86","46.06","1775","2105","45.75","740","909","44.88","99","101","49.50","21.29","80.87","11.18","89.68","1.009"
"25","St Louis Blues","72","4374.9333","31","30","11","30","73","0.507","3744","4110","47.67","2712","3024","47.28","1816","1979","47.85","190","223","46.00","198.11","218.34","47.57","1858","1955","48.73","752","816","47.96","79","112","41.36","17.06","78.00","10.46","88.73","0.992"
"26","Tampa Bay Lightning","73","4430.5167","46","21","6","42","98","0.671","4410","3896","53.09","3220","2915","52.49","2063","1966","51.20","263","201","56.68","262.57","219.03","54.52","2230","1886","54.18","950","799","54.32","131","92","58.74","22.78","82.96","12.75","89.78","1.025"
"27","Toronto Maple Leafs","74","4509.4667","31","30","13","30","75","0.507","3935","4877","44.66","2965","3614","45.07","1987","2406","45.23","229","256","47.22","224.61","262.14","46.14","1996","2417","45.23","872","1012","46.28","118","115","50.64","19.97","82.14","11.52","89.36","1.009"
"28","Utah Mammoth","74","4466.5667","38","30","6","38","82","0.554","4399","4109","51.70","3162","2986","51.43","2039","1933","51.33","235","212","52.57","239.51","237.21","50.24","2045","2035","50.12","920","892","50.77","107","103","50.95","18.23","80.78","11.53","89.03","1.006"
"29","Vancouver Canucks","72","4379.3833","21","43","8","16","50","0.347","4048","4370","48.09","2994","3284","47.69","1880","2130","46.88","180","271","39.91","220.91","255.82","46.34","1983","2242","46.93","887","988","47.31","95","131","42.04","17.30","79.53","9.57","87.28","0.969"
"30","Vegas Golden Knights","74","4529.35","32","26","16","31","80","0.541","4403","4082","51.89","3204","2900","52.49","2114","1799","54.03","231","227","50.44","243.35","209.01","53.79","2237","1991","52.91","1006","765","56.80","127","112","53.14","19.78","75.11","10.93","87.38","0.983"
"31","Winnipeg Jets","73","4435.8","31","30","12","29","74","0.507","4014","4255","48.54","2979","3134","48.73","1917","2040","48.45","207","221","48.36","229.14","240.04","48.84","2004","2093","48.91","880","918","48.94","109","106","50.70","21.33","81.00","10.80","89.17","1.000"
"32","Washington Capitals","74","4498.2167","37","28","9","35","83","0.561","4385","4521","49.24","3241","3250","49.93","2099","2095","50.05","230","213","51.92","260.92","256.78","50.40","2184","2192","49.91","991","945","51.19","108","107","50.23","17.25","81.52","10.96","89.83","1.008"
