"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4951.65","27","50","5","26","59","0.360","4331","5309","44.93","3156","3857","45.00","2194","2666","45.14","203","293","40.93","209.96","282.44","42.64","1939","2555","43.15","804","1107","42.07","102","142","41.80","19.10","80.94","9.25","89.01","0.983"
"2","Arizona Coyotes","82","4964.0333","36","41","5","34","77","0.470","4650","5129","47.55","3369","3785","47.09","2275","2599","46.68","254","274","48.11","241.32","270.79","47.12","2275","2510","47.54","901","1019","46.93","119","121","49.58","19.87","81.69","11.16","89.46","1.006"
"3","Boston Bruins","82","5002.6833","47","20","15","43","109","0.665","4610","5097","47.49","3383","3679","47.90","2396","2505","48.89","263","221","54.34","250.77","252.98","49.78","2340","2428","49.08","1036","1006","50.73","146","121","54.68","19.95","82.02","10.98","91.18","1.022"
"4","Buffalo Sabres","82","4958.4167","39","37","6","37","84","0.512","4926","4851","50.38","3591","3557","50.24","2535","2402","51.35","244","243","50.10","242.48","265.43","47.74","2263","2382","48.72","858","1041","45.18","90","121","42.65","15.73","82.36","9.63","89.88","0.995"
"5","Carolina Hurricanes","82","4972.7","52","23","7","50","111","0.677","5821","3999","59.28","4158","2977","58.28","2735","2101","56.56","277","211","56.76","278.57","212.24","56.76","2590","1899","57.70","1054","832","55.89","136","104","56.67","20.51","82.37","10.13","89.96","1.001"
"6","Columbus Blue Jackets","82","4978.6333","27","43","12","24","66","0.402","5052","5516","47.80","3578","3993","47.26","2458","2823","46.54","234","298","43.98","240.1","290.11","45.28","2308","2631","46.73","870","1093","44.32","116","138","45.67","20.17","80.97","9.52","89.44","0.990"
"7","Calgary Flames","82","4962.2","38","39","5","38","81","0.494","5257","5009","51.21","3771","3530","51.65","2573","2438","51.35","253","267","48.65","264.16","255.11","50.87","2404","2438","49.65","982","968","50.36","129","117","52.44","19.91","82.43","9.83","89.05","0.989"
"8","Chicago Blackhawks","82","4949.9667","23","53","6","22","52","0.317","4256","5265","44.70","3046","3810","44.43","2153","2683","44.52","178","289","38.12","210.19","268.55","43.90","1995","2611","43.31","809","1115","42.05","101","155","39.45","18.50","78.80","8.27","89.23","0.975"
"9","Colorado Avalanche","82","4969.4","50","25","7","48","107","0.652","5333","4812","52.57","3826","3503","52.20","2707","2446","52.53","302","252","54.51","265.52","255.19","50.99","2588","2226","53.76","1083","990","52.24","149","138","51.92","20.75","80.26","11.16","89.70","1.009"
"10","Dallas Stars","82","4982.1167","52","21","9","48","113","0.689","5301","4740","52.79","3798","3413","52.67","2588","2350","52.41","294","232","55.89","278","221.19","55.69","2624","2128","55.22","1094","841","56.54","157","120","56.68","21.84","78.80","11.36","90.13","1.015"
"11","Detroit Red Wings","82","4980.4333","41","32","9","38","91","0.555","4681","5337","46.73","3390","3867","46.71","2375","2657","47.20","275","273","50.18","236.13","268.07","46.83","2178","2554","46.03","807","1007","44.49","125","135","48.08","21.66","79.64","11.58","89.73","1.013"
"12","Edmonton Oilers","82","4969.1","49","27","6","47","104","0.634","5374","4461","54.64","3919","3266","54.54","2766","2307","54.52","292","236","55.30","305.48","232.95","56.74","2763","2227","55.37","1253","875","58.88","164","119","57.95","19.55","79.76","10.56","89.77","1.003"
"13","Florida Panthers","82","4970.5","52","24","6","49","110","0.671","5624","4399","56.11","3954","3273","54.71","2766","2280","54.82","265","198","57.24","290.33","226.44","56.18","2611","2008","56.53","1111","884","55.69","127","107","54.27","17.49","82.88","9.58","91.32","1.009"
"14","Los Angeles Kings","82","4976.2833","44","27","11","42","99","0.604","5194","4692","52.54","3805","3336","53.28","2616","2297","53.25","254","210","54.74","260.57","236.12","52.46","2381","2195","52.03","952","878","52.02","124","104","54.39","20.00","81.66","9.71","90.86","1.006"
"15","Minnesota Wild","82","4984.2","39","33","10","36","88","0.537","5004","4934","50.35","3603","3513","50.63","2472","2437","50.36","248","260","48.82","250.62","229.52","52.20","2372","2279","51.00","976","886","52.42","120","124","49.18","18.60","78.36","10.03","89.33","0.994"
"16","Montreal Canadiens","82","5013.1167","30","36","16","26","76","0.463","4533","5537","45.01","3276","3932","45.45","2269","2739","45.31","232","281","45.22","233.34","292.41","44.38","2173","2743","44.20","901","1149","43.95","120","139","46.33","19.80","80.88","10.22","89.74","1.000"
"17","New Jersey Devils","82","4949.3","38","39","5","38","81","0.494","5130","4752","51.91","3597","3523","50.52","2517","2458","50.59","264","281","48.44","266.5","267.15","49.94","2431","2285","51.55","996","968","50.71","133","141","48.54","19.79","79.08","10.49","88.57","0.991"
"18","Nashville Predators","82","4952.3667","47","30","5","44","99","0.604","5206","4813","51.96","3782","3471","52.14","2641","2506","51.31","266","248","51.75","276.43","250.24","52.49","2573","2309","52.70","1073","926","53.68","145","116","55.56","19.89","81.50","10.07","90.10","1.002"
"19","New York Islanders","82","4983.1","39","27","16","38","94","0.573","4821","5519","46.62","3525","3846","47.82","2470","2686","47.91","245","258","48.71","246.26","265.07","48.16","2320","2573","47.41","983","1007","49.40","119","116","50.64","17.45","82.87","9.92","90.39","1.003"
"20","New York Rangers","82","4974.6333","55","23","4","51","114","0.695","5166","4904","51.30","3784","3532","51.72","2582","2420","51.62","278","226","55.16","267.87","248.88","51.84","2470","2282","51.98","1010","956","51.37","123","120","50.62","19.01","81.42","10.77","90.66","1.014"
"21","Ottawa Senators","82","4974.95","37","41","4","32","78","0.476","5188","4891","51.47","3761","3432","52.29","2602","2433","51.68","250","281","47.08","263.98","245.11","51.85","2424","2358","50.69","978","949","50.75","121","132","47.83","18.20","79.34","9.61","88.45","0.981"
"22","Philadelphia Flyers","82","4976.8667","38","33","11","34","87","0.530","5252","4917","51.65","3827","3280","53.85","2708","2225","54.90","231","258","47.24","250.97","234.95","51.65","2370","2303","50.72","1005","900","52.76","113","129","46.69","16.97","77.80","8.53","88.40","0.969"
"23","Pittsburgh Penguins","82","4971.4833","38","32","12","36","88","0.537","5361","5042","51.53","3843","3701","50.94","2686","2480","51.99","253","248","50.50","285.87","254.37","52.92","2588","2421","51.67","1099","948","53.69","123","146","45.72","16.53","76.75","9.42","90.00","0.994"
"24","San Jose Sharks","82","4970.15","19","54","9","18","47","0.287","4370","5826","42.86","3075","4191","42.32","2069","2881","41.80","180","326","35.57","206.12","303.75","40.43","1985","2929","40.39","802","1182","40.42","84","153","35.44","16.70","80.23","8.70","88.68","0.974"
"25","Seattle Kraken","82","4993.95","34","35","13","31","81","0.494","5039","4844","50.99","3486","3543","49.59","2348","2391","49.55","214","232","47.98","233.8","237.46","49.61","2367","2164","52.24","911","868","51.21","105","118","47.09","18.58","77.65","9.11","90.30","0.994"
"26","St Louis Blues","82","4977.45","43","33","6","38","92","0.561","4551","5150","46.91","3369","3804","46.97","2370","2636","47.34","234","248","48.55","240.82","279.19","46.31","2213","2501","46.95","880","1104","44.35","113","127","47.08","18.71","82.26","9.87","90.59","1.005"
"27","Tampa Bay Lightning","82","4962.6833","45","29","8","42","98","0.598","4946","4762","50.95","3518","3402","50.84","2403","2430","49.72","288","267","51.89","255.02","251.22","50.38","2410","2265","51.55","964","935","50.76","137","122","52.90","21.41","81.06","11.99","89.01","1.010"
"28","Toronto Maple Leafs","82","4995.9","46","26","10","41","102","0.622","5246","5075","50.83","3811","3628","51.23","2671","2446","52.20","298","261","53.31","275.75","252.07","52.24","2620","2418","52.00","1153","986","53.90","147","129","53.26","19.09","80.57","11.16","89.33","1.005"
"29","Vancouver Canucks","82","4964.75","50","23","9","50","109","0.665","4837","4606","51.22","3477","3356","50.89","2328","2341","49.86","279","221","55.80","261.73","236.29","52.55","2385","2141","52.70","1069","936","53.32","146","118","55.30","21.22","81.39","11.98","90.56","1.025"
"30","Vegas Golden Knights","82","4975.25","45","29","8","41","98","0.598","4982","5227","48.80","3550","3616","49.54","2548","2487","50.61","263","243","51.98","247.7","240.91","50.69","2377","2404","49.72","947","926","50.56","126","112","52.94","19.33","80.59","10.32","90.23","1.006"
"31","Winnipeg Jets","82","4951.15","52","24","6","52","110","0.671","4903","4846","50.29","3593","3510","50.58","2489","2429","50.61","259","198","56.67","250.92","244.55","50.64","2262","2255","50.08","961","994","49.16","141","108","56.63","21.17","83.44","10.41","91.85","1.023"
"32","Washington Capitals","82","4991.35","40","31","11","36","91","0.555","4572","5256","46.52","3219","3714","46.43","2172","2503","46.46","216","252","46.15","242.61","259.14","48.35","2203","2380","48.07","939","985","48.80","121","130","48.21","20.40","80.27","9.94","89.93","0.999"
