"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"39","Dan Vladar","PHI","43","2488.2833333333","1083","983","100","0.908","2.41","12.14","117.28","257","215","42","0.837","1.01","5.36","44","228","36.10","22.31"
"16","John Gibson","DET","47","2693.7833333333","1226","1112","114","0.907","2.54","12.94","133.14","306","253","53","0.827","1.18","3.38","47","234","35.34","22.88"
"45","Casey DeSmith","DAL","26","1535.4833333333","666","604","62","0.907","2.42","6.96","75.1","182","152","30","0.835","1.17","3.54","26","135","34.92","22.94"
"59","Jeremy Swayman","BOS","47","2788.3333333333","1362","1236","126","0.907","2.71","15.03","161.84","395","329","66","0.833","1.42","6.78","52","318","33.57","21.64"
"63","Joel Hofer","STL","37","2085.6833333333","994","902","92","0.907","2.65","10.92","101.83","242","188","54","0.777","1.55","-9.41","27","175","36.98","18.86"
"4","Jake Allen","N.J","31","1822.4333333333","855","775","80","0.906","2.63","8.53","95.2","246","197","49","0.801","1.61","-3.67","25","197","34.53","17.20"
"38","Mackenzie Blackwood","COL","31","1763.0166666667","750","679","71","0.905","2.42","6.66","83.96","212","177","35","0.835","1.19","4.06","29","168","34.43","20.17"
"48","Joseph Woll","TOR","34","1932.8833333333","1060","958","102","0.904","3.17","7.76","106.87","274","230","44","0.839","1.37","6.49","37","190","34.78","20.12"
"89","Clay Stevenson","WSH","3","180.11666666667","73","66","7","0.904","2.33","0.56","9.22","18","14","4","0.778","1.33","-0.68","2","16","37.41","29.29"
"53","Jake Oettinger","DAL","45","2691.15","1186","1071","115","0.903","2.56","7.80","127.95","322","271","51","0.842","1.14","8.33","50","228","37.51","22.43"
"14","Anton Forsberg","L.A","29","1647.0166666667","780","702","78","0.900","2.84","2.76","83.5","202","171","31","0.847","1.13","6.22","31","155","34.47","20.19"
"43","Joey Daccord","SEA","42","2419.4666666667","1175","1058","117","0.900","2.90","4.66","125.78","280","225","55","0.804","1.36","-3.41","33","252","35.38","20.69"
"42","Karel Vejmelka","UTA","54","3188.7166666667","1403","1261","142","0.899","2.67","3.27","164.73","381","310","71","0.814","1.34","-0.80","60","304","36.01","19.31"
"71","Pyotr Kochetkov","CAR","9","490.15","189","170","19","0.899","2.33","0.57","18.93","45","34","11","0.756","1.35","-2.71","15","32","37.65","17.32"
"94","Jacob Fowler","MTL","13","773.33333333333","346","311","35","0.899","2.72","0.83","39.16","103","83","20","0.806","1.55","-1.02","15","80","34.24","19.97"
"30","Alex Nedeljkovic","S.J","32","1822.8333333333","864","776","88","0.898","2.90","1.46","89.86","260","219","41","0.842","1.35","6.91","35","146","34.18","22.88"
"51","David Rittich","NYI","27","1562.7666666667","683","613","70","0.898","2.69","0.72","80.69","199","167","32","0.839","1.23","4.67","31","152","34.67","20.56"
"64","Justus Annunen","NSH","23","1205.4833333333","566","508","58","0.898","2.89","0.61","62.19","152","128","24","0.842","1.19","4.01","8","94","34.05","23.22"
"5","Darcy Kuemper","L.A","44","2532.8166666667","1097","984","113","0.897","2.68","0.59","115.83","305","255","50","0.836","1.18","6.20","50","210","34.18","20.42"
"21","Connor Hellebuyck","WPG","47","2823.7333333333","1299","1165","134","0.897","2.85","0.50","144.25","362","292","70","0.807","1.49","-3.30","30","279","34.27","20.35"
"26","Eric Comrie","WPG","22","1242.0666666667","581","521","60","0.897","2.90","0.16","63.9","152","123","29","0.809","1.40","-0.99","25","139","35.59","22.20"
"73","Dustin Wolf","CGY","50","2778.8833333333","1342","1204","138","0.897","2.98","0.96","138.33","366","294","72","0.803","1.55","-4.56","34","251","34.83","19.03"
"91","Sergei Murashov","PIT","5","281.28333333333","116","104","12","0.897","2.56","0.01","11.64","24","21","3","0.875","0.64","1.42","6","12","35.19","25.08"
"70","Colten Ellis","BUF","13","732.2","367","329","38","0.896","3.11","0.00","38.74","104","85","19","0.817","1.56","0.16","9","76","35.46","18.45"
"24","Juuse Saros","NSH","52","3003.9833333333","1481","1325","156","0.895","3.12","-2.65","150.04","429","340","89","0.793","1.78","-9.95","44","258","33.26","18.63"
"29","Thatcher Demko","VAN","20","1115.8666666667","513","459","54","0.895","2.90","-0.88","58.7","157","126","31","0.803","1.67","-2.07","13","98","31.59","20.02"
"57","Daniil Tarasov","FLA","24","1397.6333333333","669","599","70","0.895","3.01","-0.73","70.32","165","131","34","0.794","1.46","-3.60","21","133","36.03","22.40"
"20","Anthony Stolarz","TOR","22","1204.8","630","563","67","0.894","3.34","-1.77","64.22","176","145","31","0.824","1.54","1.43","27","101","33.21","21.09"
"90","Brandon Bussi","CAR","33","1995.2666666667","777","695","82","0.894","2.47","-1.55","86.46","234","192","42","0.821","1.26","1.12","23","158","33.54","19.99"
"28","Pheonix Copley","L.A","1","58.566666666667","28","25","3","0.893","3.07","-0.10","2.18","7","6","1","0.857","1.02","0.29","0","2","38.43","24.67"
"36","Ville Husso","ANA","16","897.33333333333","441","394","47","0.893","3.14","-1.34","49.29","123","101","22","0.821","1.47","0.66","11","100","35.12","20.21"
"61","Lukas Dostal","ANA","48","2788.5166666667","1310","1170","140","0.893","3.01","-4.36","157.72","392","324","68","0.827","1.46","4.23","54","277","33.81","20.74"
"65","Akira Schmid","VGK","34","1965.7833333333","793","708","85","0.893","2.59","-2.89","86.64","195","155","40","0.795","1.22","-4.07","33","191","35.34","22.58"
"72","Arturs Silovs","PIT","33","1930.7666666667","875","781","94","0.893","2.92","-3.40","94.63","238","189","49","0.794","1.52","-5.15","27","162","33.64","20.49"
"81","Jakub Dobes","MTL","34","1981.1333333333","898","802","96","0.893","2.91","-3.02","109.45","248","200","48","0.806","1.45","-2.30","43","225","36.26","20.67"
"95","Nikita Tolopilo","VAN","15","826","427","381","46","0.892","3.34","-1.79","48.07","119","100","19","0.840","1.38","2.93","16","85","32.81","20.74"
"6","Cam Talbot","DET","28","1524.4666666667","706","629","77","0.891","3.03","-3.90","72.83","188","144","44","0.766","1.73","-9.36","30","113","35.25","19.08"
"19","Joonas Korpisalo","BOS","26","1437.2666666667","726","647","79","0.891","3.30","-3.83","83.14","220","187","33","0.850","1.38","7.54","29","169","32.54","21.86"
"31","Vitek Vanecek","UTA","18","1061.9166666667","440","392","48","0.891","2.71","-2.44","51","131","105","26","0.802","1.47","-1.86","21","104","33.55","18.19"
"44","Connor Ingram","EDM","24","1313.45","564","502","62","0.890","2.83","-3.60","61.88","141","113","28","0.801","1.28","-2.02","21","114","34.14","21.98"
"1","Jonathan Quick","NYR","23","1299.9666666667","622","553","69","0.889","3.18","-4.60","66.43","166","129","37","0.777","1.71","-6.41","26","117","34.83","19.81"
"52","Stuart Skinner","EDM, PIT","43","2519.8833333333","1090","969","121","0.889","2.88","-8.14","132.1","307","247","60","0.805","1.43","-3.43","46","236","33.43","20.50"
"46","Charlie Lindgren","WSH","21","1250.1333333333","569","504","65","0.886","3.12","-6.08","63.06","155","121","34","0.781","1.63","-5.44","24","90","33.84","22.52"
"76","Yaroslav Askarov","S.J","40","2204.8333333333","1146","1015","131","0.886","3.56","-12.34","130.64","321","258","63","0.804","1.71","-3.85","38","253","33.64","21.31"
"22","Linus Ullmark","OTT","40","2383.8666666667","957","847","110","0.885","2.77","-10.91","99.29","260","198","62","0.762","1.56","-14.09","52","170","34.38","18.90"
"2","James Reimer","OTT","9","534.4","189","167","22","0.884","2.47","-2.43","22.39","47","40","7","0.851","0.79","1.66","6","45","35.49","22.41"
"3","Jacob Markstrom","N.J","39","2247.8","1002","886","116","0.884","3.10","-12.25","106.38","268","212","56","0.791","1.49","-6.62","43","182","35.29","22.30"
"34","Elvis Merzlikins","CBJ","28","1559.5666666667","753","666","87","0.884","3.35","-9.03","85.47","221","186","35","0.842","1.35","5.72","19","154","33.92","23.71"
"25","Tristan Jarry","EDM, PIT","29","1573.45","761","672","89","0.883","3.39","-10.20","87.37","226","190","36","0.841","1.37","5.64","23","160","32.15","22.60"
"33","Jonas Johansson","T.B","23","1304.75","608","537","71","0.883","3.26","-8.05","60.92","155","122","33","0.787","1.52","-4.44","29","101","36.06","20.25"
"7","Sergei Bobrovsky","FLA","47","2737.3666666667","1128","991","137","0.879","3.00","-20.20","128.89","348","268","80","0.770","1.75","-15.88","50","215","36.22","18.41"
"86","Arvid Soderblom","CHI","21","1226.2","628","552","76","0.879","3.72","-10.97","71.18","215","169","46","0.786","2.25","-6.38","9","120","31.87","19.29"
"62","Kevin Lankinen","VAN","39","2137.7166666667","1036","907","129","0.875","3.62","-21.73","115.79","318","251","67","0.789","1.88","-8.40","23","214","34.04","19.49"
"12","Frederik Andersen","CAR","29","1750.7","721","630","91","0.874","3.12","-16.34","89.55","235","186","49","0.791","1.68","-5.70","26","162","34.07","19.03"
"40","Sam Montembeault","MTL","25","1418.2","636","555","81","0.873","3.43","-15.15","79.62","204","161","43","0.789","1.82","-5.41","22","140","33.52","21.58"
"84","Carl Lindbom","VGK","8","480.66666666667","189","165","24","0.873","3.00","-4.43","21.03","44","30","14","0.682","1.75","-5.89","8","43","34.00","19.63"
"15","Jordan Binnington","STL","37","2067.3166666667","914","797","117","0.872","3.40","-22.36","96.99","251","194","57","0.773","1.65","-10.75","34","201","35.09","21.53"
"8","Calvin Pickard","EDM","16","864.13333333333","410","357","53","0.871","3.68","-10.55","47","120","89","31","0.742","2.15","-8.89","27","79","32.21","17.13"
"88","Thomas Milic","WPG","3","138.63333333333","62","54","8","0.871","3.46","-1.58","5.77","13","11","2","0.846","0.87","0.40","4","12","40.65","26.75"
"49","Carter Hart","VGK","12","659.3","277","241","36","0.870","3.28","-7.32","28.37","65","48","17","0.738","1.55","-5.02","9","56","34.10","21.83"
"41","Adin Hill","VGK","22","1188.7666666667","459","399","60","0.869","3.03","-12.47","49.91","128","94","34","0.734","1.72","-10.41","24","79","36.90","18.37"
